N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
1;L4;donc c’est quoi votre vision du quartier ? chacun en parle un petit peu;Q;0
6;L2;bah j’imagine qu’on est à peu près d’accord sur l’économie d’énergie machin;P1;0
7;L3;ouais les objectifs d’économie d’énergie;[+];0
;;;-7;
8;L1;ouais tout à fait tout le côté interdépendant de la population pas sur toutes les questions mais après;Préc;0
9;L3;bah en fait y’a le côté environnement bah on va limiter la consommation des ressources et puis les atteintes à l’environnement etc;Préc;VA
;;;(P1);(écologique)
10;L2;ouais le gaspillage machin ouais;[+];0
;;;-9;
11;L3;et une autre question sociale faire du lien social;P2;0
12;L2;non;[-];0
;;;-11;
13;L4;l’accès à plus de ressources aussi;P3;0
14;L2;le lien social moi ça m’intéresse pas ((rires));[-];0
;;;0011);
15;L3;genre que t’aurai pas ouais y’a économie des ménages économie ouais t’as raison et du coup avoir accès des trucs que;Préc;
16;L4;je pense;[+];0
;;;-15;
0017a;L1;après dans ce genre de cas enfin y’a une collabo- enfin une culture ce que j’ai marqué c’est une culture commune dissociée d’une culture de l’individu c’est vraiment séparer ces deux notions ;P4;0
0017b;L1;parce que l’individu pourra toujours se ramener pourra toujours ramener les choses à la personne pourra toujours être pris de jalousie ou quelque chose comme ça;Arg+;VA
;;;(P4);(relations sociales)
18;L3; ((acquiescements));[+];0
;;;(0017b);
19;L4; ((acquiescements));[+];0
;;;(0017b);
20;L1;et donc à partir de là faut créer une culture commune;Préc;
21;L3;ouais;[+];0
;;;-20;
22;L1;très sensible et très informelle avec toute cette population;Préc;0
23;L3;ouais j’avais noté un truc qu’était en lien avec ça c’était ;Préc;0
24;L4;il faut tout changer en fait ?;Q;0
25;L3;un peu prise de conscience générale c’est que tu si tu comprends donc si t’as une cul- enfin c’est un peu ça et t’acceptes les choses du coup tu les mets en œuvre enfin ;Arg+;VA
;;;(P4);(acceptabilité)
26;L1;ouais carrément;[+];0
;;;-25;
27;L3;si t’as une conscience collective de ton action et tout ça;Arg+;VA
;;;(P4);(acceptabilité)
28;L1;mais après y’a ouais exactement c’est;[+];0
;;;-27;
29;L3;tu peux changer tes comportements que si tu comprends bien et que tu l’acceptes;Arg+;VA
;;;(P4);(acceptabilité)
30;L1;ouais pourquoi tu le fais;[+];0
;;;-29;
31;L3;et que tu l’as choi- voté enfin pas voté dans ce cas là mais;Arg+;VA
;;;(P4);(acceptabilité)
32;L1;c’est ce qui enfin c’est qui ouais le point commun c’est exactement ça  ouais la création d’une culture c’est qu’en fait on rapporte son enfin putain excusez moi j’ai un peu des problèmes ce matin;Préc;0
33;L4;et la religion on en ferait quoi en fait avec ça ?;Q;0
34;L1;bah en fait c’est pas di- enfin c’est absolument compatible c’est juste qu’en fait la création d’une cul- culture commune de d’économie etc ça fait qu’on est plus dans un rapport avec soi ou avec tes croyances ou quoique ce soit on est juste dans un rapport où en fait on se dit tous qu’il faut enfin que c’est normal;Arg+;VA
;;;(P4);(engagement)
35;L3;qu’on devrait tous pouvoir;Arg+;VA
;;;(P4);(engagement)
36;L1;de pas consommer de pas surconsommer;Arg+;VA
;;;(P4);(engagement)
37;L3;ouais;[+];0
;;;-36;
38;L1;et le but c’est pas de se dire ah merde il consomme mon voisin consomme plus que moi donc du coup je peux consommer d’autant plus quoi on est plus dans c’est vraiment abattre l’individualisme;Arg+;VA
;;;(P4);(engagement)
39;L3;ça après y’a des aspects plus personnels;Préc;0
0040a;L2;après désolé  de faire le mec relou mais enfin pour moi c’est juste t’essaye d’améliorer ton propre comportement en espérant que les autres fassent la même chose ;Arg-;VA
;;;(P4);(engagement)
0040b;L2;c’est-à-dire que moi la culture commune moi clairement j’en veux pas par exemple  moi ça me ferait chier d’habiter dans un truc comme ça enfin  et du coup;Arg-;VA
;;;(P4);(acceptabilité)
41;L4;((rires));0;0
42;L2;nan mais voilà bon;0;0
43;L4;oui oui mais c’est bien;0;0
44;L2;tu vois donc du coup je pense que pour des gens comme ça c’est déjà un peu plus chiant enfin typiquement quand tu repenses aux Québécois ils avaient l’air tout très gentils hein mais moi les ateliers menuiserie moi non;Arg-;VA
;;;(P4);(acceptabilité)
45;L1;non non mais;0;0
46;L4;nan mais c’est des propositions tu choisis;Arg+;VA
;;;(P4);(liberté)
47;L3;mais justement tu choisis c’est des propositions et justement tu choisis si t’y vas t’y vas pas;Arg+;VA
;;;(P4);(liberté)
48;L2;tu choisis mais tout choix tout choix implique un comment dire un une réception sociale de ton choix donc ;Arg-;VA
;;;(P4);(relations sociales)
49;L3;ouais c’est quand même tu as le choix;Arg+;VA
;;;(P4);(liberté)
50;L2;t’auras toujours si tu as une culture commune t’auras toujours des gens contre cette culture commune;Arg-;VA
;;;(P4);(acceptabilité)
51;L4;mais après c’est sûr que faut faut s’entendre après faut ça doit être compliqué;Arg-;VA
;;;(P4);(relations sociales)
52;L2;nan mais ça je suis d’accord mais enfin;[+];0
;;;(0051à;
53;L1;moi je parle pas forcément;0;0
0054a;L2;moi c’est juste moi c’est juste loger les gens de façon convenable ;P5;0
0054b;L2;tu vois qu’ils aient une vie à peu près agréable pour tout le monde;Arg+;VA
;;;(P5);(agréabilité)
0054c;L2;si après en plus y’a des cultures communes qui se construisent tant mieux ou tant pis après ça dépend comment tu vois le truc;Préc;VA
;;;(P4);(acceptabilité)
55;L1;ouais mais quand on parle de culture commune on parle pas forcément effectivement d’une implication concrète;Arg+;VA
;;;(P4);(engagement)
56;L2;nan mais ce que je veux dire c’est pas forcément un objectif tu vois;[-];0
;;;-55;
57;L4;oui d’accord;0;0
