,PAROLES,Dimension Dialogique,Domaine,Langue,Unnamed: 0
0,oui la première année ça ne sera pas rentable tout de suite mais ça le sera sur le long terme,1,,af,0.0
1,"oui la première année ça ne sera pas rentable tout de suite, mais ça le sera sur le long terme",1,,sq,1.0
2,"Oui, la première année ne sera pas rentable immédiatement, mais elle le sera sur le long terme",1,,am,2.0
3,"Oui, la première année, ce ne sera pas rentable immédiatement, mais ce sera rentable à long terme",1,,ar,3.0
4,"oui, la première année ne sera pas immédiatement rentable, mais à long terme",1,,hy,4.0
5,oui la première année ce ne sera pas immédiatement rentable mais ce le serait à long terme,1,,eu,6.0
6,"oui, ce ne sera pas rentable tout de suite la première année, mais ce sera sur le long terme",1,,be,7.0
7,"Oui la première année, ce ne sera pas rentable directement mais ce sera sur le long terme",1,,bn,8.0
8,"que la première année, ce ne serait pas rentable immédiatement, mais ce serait à long terme",1,,bs,9.0
9,"oui, la première année ne sera pas rentable tout de suite, mais elle le sera sur le long terme",1,,bg,10.0
10,oui la première année ce ne sera pas rentable immédiatement mais ça le sera sur le long terme,1,,ceb,12.0
11,"Oui, la première année ne sera pas rentable immédiatement mais elle le sera sur le long terme",1,,ny,13.0
12,"Oui, ce ne sera pas rentable immédiatement la première année, mais ce sera rentable à long terme",1,,zh-cn,14.0
13,"Oui, il n’y aura pas de profit immédiat la première année, mais il sera rentable à long terme.",1,,zh-tw,15.0
14,oui la première année ne sera pas rentable dans l'immédiat mais elle le serait sur le long terme,1,,co,16.0
15,"oui, ce ne sera pas rentable la première année, mais à long terme",1,,hr,17.0
16,oui la première année ça ne sera pas rentable tout de suite mais ça le serait à long terme,1,,cs,18.0
17,oui la première année ça ne sera pas rentable immédiatement mais ça le sera à long terme,1,,da,19.0
18,"Oui, ce ne sera pas immédiatement rentable la première année, mais à long terme, ce sera le cas.",1,,nl,20.0
19,oui la première année ça ne sera pas rentable tout de suite mais ça le serait sur le long terme,1,,en,21.0
20,oui la première année ce ne sera pas rentable tout de suite mais ce serait à long terme,1,,eo,22.0
21,"oui, ce ne sera pas rentable immédiatement la première année, mais ce le sera sur le long terme",1,,et,23.0
22,oui la première année ce n'est pas rentable immédiatement mais ça l'est sur le long terme,1,,tl,24.0
23,"oui, la première année, ce ne sera pas rentable tout de suite, mais ce le sera à long terme",1,,fi,25.0
24,"Oui, la première année, ce ne sera pas rentable immédiatement, mais cela le sera à long terme.",1,,ka,28.0
25,oui la première année ce ne sera pas rentable immédiatement mais ce le sera sur le long terme,1,,el,30.0
26,"Oui la première année, ce ne sera pas rentable immédiatement mais ce sera sur le long terme",1,,gu,31.0
27,"la première année, il n'y aura pas de profit direct mais ce sera le cas à long terme",1,,ha,33.0
28,Oui la première année ce ne sera pas rentable immédiatement mais à long terme,1,,haw,34.0
29,"Oui la première année, ce ne sera pas rentable immédiatement mais cela le sera sur le long terme",1,,iw,35.0
30,"Oui, ce ne sera pas immédiatement rentable la première année mais cela le sera sur le long terme.",1,,hi,37.0
31,si la première année cela ne sera pas directement bénéfique mais cela le sera sur le long terme,1,,hmn,38.0
32,"oui, ce ne sera pas rentable immédiatement la première année, mais ce sera sur le long terme",1,,hu,39.0
33,oui la première année ça ne sera pas rentable immédiatement mais ça le sera sur le long terme,1,,ig,41.0
34,"Oui, la première année, vous ne ferez pas de profit tout de suite, mais vous en ferez sur le long terme.",1,,id,42.0
35,"Oui, vous n'obtiendrez pas de profit immédiatement la première année, mais vous en obtiendrez sur le long terme.",1,,ja,45.0
36,"oui, la première année ne sera pas un profit immédiat mais ce sera à long terme",1,,jw,46.0
37,"Oui la première année, ce ne sera pas rentable immédiatement mais à long terme",1,,kn,47.0
38,"oui, cela n'arrivera pas immédiatement la première année, mais cela arrivera à long terme",1,,kk,48.0
39,"Oui, la première année, ce ne sera pas immédiatement rentable, mais cela le sera à long terme.",1,,km,49.0
40,"Oui, cela ne sera peut-être pas rentable immédiatement la première année, mais cela le sera à long terme.",1,,ko,50.0
41,"oui la première année, ce ne sera pas rentable tout de suite mais ce le sera à long terme",1,,ky,52.0
42,"donc la première année, cela ne bénéficiera pas immédiatement mais à long terme",1,,la,54.0
43,"oui, ce ne sera pas rentable tout de suite la première année, mais ce le sera à long terme",1,,lt,56.0
44,"oui la première année ce ne sera pas immédiatement rentable, mais ce le serait sur le long terme",1,,lb,57.0
45,"oui la première année, ce ne sera pas rentable immédiatement mais ce serait à long terme",1,,mk,58.0
46,oui la première année ce ne sera pas un bénéfice immédiat mais ce sera à long terme,1,,mt,62.0
47,oui la première année ce ne sera pas efficace immédiatement mais pour longtemps,1,,mi,63.0
48,"Oui, ce ne sera pas rentable immédiatement la première année mais ce sera à long terme",1,,mr,64.0
49,"oui, la première année, ce ne sera pas immédiatement rentable, mais ce sera sur le long terme",1,,mn,65.0
50,Oui la première année ne sera pas directement bénéfique mais cela le sera sur le long terme,1,,ps,70.0
51,"Oui, ce ne sera pas rentable immédiatement la première année, mais cela le sera sur le long terme",1,,fa,71.0
52,"oui, la première année, ce ne sera pas rentable immédiatement, mais ce sera sur le long terme",1,,pt,73.0
53,Oui la première année ce ne sera pas immédiatement rentable mais ça le sera sur le long terme,1,,pa,74.0
54,"oui la première année ne sera pas rentable immédiatement, mais elle le serait sur le long terme",1,,ro,75.0
55,"oui, la première année, ce ne sera pas rentable immédiatement, mais à long terme, ce sera le cas",1,,ru,76.0
56,oui la première année ne sera pas une réussite immédiate mais elle se gagnera sur le long terme,1,,sm,77.0
57,oui la première année ne sera peut-être pas rentable tout de suite mais elle le sera à long terme,1,,sn,81.0
58,"Oui, la première année, ce ne sera pas un profit direct, mais ce sera à long terme",1,,sd,82.0
59,"Oui la première année, ce ne sera pas rentable immédiatement mais ce sera à long terme",1,,si,83.0
60,"oui, la première année, ce ne sera pas rentable tout de suite, mais ce serait à long terme",1,,sk,84.0
61,oui la première année ne sera pas rentable immédiatement mais ce serait sur le long terme,1,,sl,85.0
62,"Oui, la première année ne sera pas rentable immédiatement, mais elle le sera sur le long terme.",1,,es,87.0
63,oui la première année ça ne sera pas rentable directement mais ça le serait sur le long terme,1,,sw,89.0
64,"Oui, la première année, ce ne sera peut-être pas rentable immédiatement, mais cela le sera à long terme.",1,,ta,92.0
65,"Oui, la première année, il n’y aura pas de profit immédiat mais ce sera à long terme.",1,,th,94.0
66,"Certes, cela ne sera pas rentable immédiatement la première année, mais cela le sera à long terme.",1,,tr,95.0
67,"oui, la première année, ce ne sera pas rentable tout de suite, mais ce sera sur le long terme",1,,uk,96.0
68,"Oui la première année, ce ne sera pas rentable immédiatement mais cela le sera sur le long terme.",1,,ur,97.0
69,"Oui, cela ne sera pas rentable immédiatement la première année, mais ce sera le cas à long terme.",1,,ug,98.0
70,"oui, la première année, ce ne sera pas rentable immédiatement mais à long terme, ce sera rentable",1,,vi,100.0
71,oui la première année ne sera pas directement rentable mais elle le sera sur le long terme,1,,yo,104.0
72,"tu as un droit de veto mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon je pense vraiment que les gens le sont aussi, il y a des gens qui sont dans l'opposition permanente et qui",2,,af,106.0
73,"vous avez le droit de veto, mais le fait est que vous ne pouvez pas l'utiliser tout le temps parce que sinon je pense vraiment qu'il y a des gens et il y a des gens qui sont dans l'opposition permanente et qui",2,,sq,107.0
74,"Vous avez le droit de voter contre, mais le problème est que vous ne pouvez pas l'utiliser tout le temps, sinon j'imagine qu'il y a des gens qui sont constamment dans l'opposition.",2,,am,108.0
75,"Vous avez le droit de veto mais le problème c'est qu'on ne peut pas toujours l'utiliser parce que sinon, je considère vraiment qu'il y a aussi des gens dans l'opposition permanente qui",2,,ar,109.0
76,"vous avez le droit de veto, mais le problème c'est que vous ne pouvez pas toujours l'utiliser, parce que sinon je pense vraiment qu'il y a des gens qui sont constamment dans l'opposition et qui.",2,,hy,110.0
77,"vous avez le droit de veto, mais le problème c'est que vous ne pouvez pas toujours l'utiliser, parce que sinon, je pense vraiment qu'il y a des gens qui sont toujours dans l'opposition, et ils le sont.",2,,az,111.0
78,"vous avez le droit de veto mais le fait est que vous ne pouvez pas toujours l'utiliser, sinon je crois vraiment qu'il y a des gens qui sont dans l'opposition permanente et",2,,eu,112.0
79,"vous avez le droit de veto, mais le fait est que vous ne pouvez pas toujours l'utiliser, car je crois vraiment que les gens sont aussi des gens qui sont dans l'opposition permanente et qui",2,,be,113.0
80,Vous avez le droit de veto mais le problème c'est que vous ne pouvez pas toujours l'utiliser parce que sinon je considère vraiment qu'il y a des gens qui sont dans l'opposition permanente et qui,2,,bn,114.0
81,"tu as le droit de veto, mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon je pense vraiment qu'il y a des gens et il y a des gens qui sont dans l'opposition constante et qui",2,,bs,115.0
82,"vous avez un veto, mais le problème c'est que vous ne pouvez pas toujours l'utiliser parce que sinon je pense vraiment qu'il y a aussi des gens qui sont dans l'opposition permanente et qui",2,,bg,116.0
83,tu as le droit de veto mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon je considère vraiment qu'il y a aussi des gens qui sont dans l'opposition permanente et qui,2,,ca,117.0
84,"tu as le droit de veto mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon, je considère qu'il y a aussi des gens qui sont dans l'opposition permanente et qui",2,,ceb,118.0
85,"vous avez le droit de voter mais le problème est que vous ne pouvez pas l'utiliser tout le temps parce que d'une manière ou d'une autre, je vois qu'il y a aussi des gens qui sont des critiques réguliers et qui.",2,,ny,119.0
86,"Vous avez un veto, mais le problème est que vous ne pouvez pas toujours l'utiliser, sinon je pense vraiment que les gens ont aussi des représentants de l'opposition permanente et ils",2,,zh-cn,120.0
87,"tu as le droit de veto mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon il me semble vraiment que les gens le sont aussi, il y a des gens qui sont dans l'opposition permanente et que",2,,co,122.0
88,"vous avez le droit de veto, mais le problème c'est que vous ne pouvez pas toujours l'utiliser parce que sinon je pense vraiment qu'il y a aussi des gens qui sont dans l'opposition constante et qui",2,,hr,123.0
89,"vous avez un veto, mais le fait est que vous ne pouvez pas toujours l'utiliser, parce que sinon je pense vraiment que les gens sont aussi des gens qui sont dans l'opposition permanente et qui",2,,cs,124.0
90,"tu as le droit de veto, mais le truc c'est que tu ne peux pas toujours l'utiliser, parce que sinon je pense vraiment que les gens le sont aussi, il y a des gens qui sont dans l'opposition permanente et qui",2,,da,125.0
91,"vous avez un droit de veto, mais le fait est qu'on ne peut pas toujours l'utiliser, parce que sinon je pense vraiment qu'il y a des gens, il y a aussi des gens qui sont dans l'opposition permanente et qui",2,,nl,126.0
92,"tu as un droit de veto mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon je considère vraiment que les gens le sont aussi, il y a des gens qui sont dans l'opposition permanente et qui",2,,en,127.0
93,tu as un droit de veto mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon je considère vraiment que les gens sont aussi des gens qui sont dans l'opposition permanente et qui,2,,eo,128.0
94,"vous avez le droit de veto, mais le fait est que vous ne pouvez pas toujours l'utiliser, parce que sinon je pense vraiment qu'il y a des gens qui sont dans l'opposition permanente et qui",2,,et,129.0
95,"vous avez un veto, mais le problème c'est que vous ne pouvez pas toujours l'utiliser, parce que sinon je pense vraiment qu'il y a aussi des gens qui sont dans l'opposition permanente et qui",2,,fi,131.0
96,"vous avez un droit de veto, mais le problème c'est que vous ne pouvez pas toujours l'utiliser, parce que sinon je pense vraiment qu'il y a aussi des gens, il y a des gens qui sont dans l'opposition permanente et qui",2,,fy,132.0
97,tu as le droit de veto mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon je crois profondément qu'il y a aussi des gens qui sont dans l'opposition permanente et que,2,,gl,133.0
98,"Vous avez le droit de veto, mais le fait est que vous ne pouvez pas toujours l'utiliser, car je pense vraiment qu'il y a des gens qui sont dans l'opposition permanente et qui",2,,ka,134.0
99,"Vous avez un droit de veto, mais le problème c'est que vous ne pouvez pas toujours l'utiliser, sinon je pense qu'il y a aussi des gens qui sont constamment dans l'opposition et qui",2,,de,135.0
100,vous avez un droit de veto mais le problème c'est que vous ne pouvez pas toujours l'utiliser parce que sinon je pense vraiment que les gens le sont et il y a des gens qui sont dans l'opposition permanente et qui,2,,el,136.0
101,Vous avez le droit de veto mais le problème c'est que vous ne pouvez pas toujours l'utiliser parce que sinon je crois vraiment qu'il y a des gens qui sont dans l'opposition permanente et qui,2,,gu,137.0
102,Vous avez le droit de veto mais le truc c'est que vous ne pouvez pas toujours l'utiliser parce que sinon je considère qu'il y a des gens qui sont dans l'opposition permanente et qui le sont.,2,,ha,139.0
103,"Vous avez le droit de veto mais le problème c'est que vous ne pouvez pas l'utiliser parce que si je ne pense pas vraiment qu'il y ait des gens, il y a des gens qui sont toujours dans l'opposition et qui.",2,,haw,140.0
104,"Vous avez le droit de veto, mais le fait est que vous ne pouvez pas toujours l'utiliser parce que sinon je pense vraiment qu'il y a des gens qui sont aussi des gens qui sont dans l'opposition permanente et qui",2,,iw,141.0
