,PAROLES,Dimension Dialogique,Domaine,Langue,Unnamed: 0.1,Unnamed: 0
0,oui la première année ça ne sera pas rentable tout de suite mais ça le sera sur le long terme,1,,af,0.0,0.0
1,"oui la première année ça ne sera pas rentable tout de suite, mais ça le sera sur le long terme",1,,sq,1.0,1.0
2,"Oui, la première année ne sera pas rentable immédiatement, mais elle le sera sur le long terme",1,,am,2.0,2.0
3,"Oui, la première année, ce ne sera pas rentable immédiatement, mais ce sera rentable à long terme",1,,ar,3.0,3.0
4,"oui, la première année ne sera pas immédiatement rentable, mais à long terme",1,,hy,4.0,4.0
5,oui la première année ce ne sera pas immédiatement rentable mais ce le serait à long terme,1,,eu,5.0,6.0
6,"oui, ce ne sera pas rentable tout de suite la première année, mais ce sera sur le long terme",1,,be,6.0,7.0
7,"Oui la première année, ce ne sera pas rentable directement mais ce sera sur le long terme",1,,bn,7.0,8.0
8,"que la première année, ce ne serait pas rentable immédiatement, mais ce serait à long terme",1,,bs,8.0,9.0
9,"oui, la première année ne sera pas rentable tout de suite, mais elle le sera sur le long terme",1,,bg,9.0,10.0
10,"tu as un droit de veto mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon je pense vraiment que les gens le sont aussi, il y a des gens qui sont dans l'opposition permanente et qui",2,,af,72.0,106.0
11,"vous avez le droit de veto, mais le fait est que vous ne pouvez pas l'utiliser tout le temps parce que sinon je pense vraiment qu'il y a des gens et il y a des gens qui sont dans l'opposition permanente et qui",2,,sq,73.0,107.0
12,"Vous avez le droit de voter contre, mais le problème est que vous ne pouvez pas l'utiliser tout le temps, sinon j'imagine qu'il y a des gens qui sont constamment dans l'opposition.",2,,am,74.0,108.0
13,"Vous avez le droit de veto mais le problème c'est qu'on ne peut pas toujours l'utiliser parce que sinon, je considère vraiment qu'il y a aussi des gens dans l'opposition permanente qui",2,,ar,75.0,109.0
14,"vous avez le droit de veto, mais le problème c'est que vous ne pouvez pas toujours l'utiliser, parce que sinon je pense vraiment qu'il y a des gens qui sont constamment dans l'opposition et qui.",2,,hy,76.0,110.0
15,"vous avez le droit de veto mais le fait est que vous ne pouvez pas toujours l'utiliser, sinon je crois vraiment qu'il y a des gens qui sont dans l'opposition permanente et",2,,eu,78.0,112.0
16,"vous avez le droit de veto, mais le fait est que vous ne pouvez pas toujours l'utiliser, car je crois vraiment que les gens sont aussi des gens qui sont dans l'opposition permanente et qui",2,,be,79.0,113.0
17,Vous avez le droit de veto mais le problème c'est que vous ne pouvez pas toujours l'utiliser parce que sinon je considère vraiment qu'il y a des gens qui sont dans l'opposition permanente et qui,2,,bn,80.0,114.0
18,"tu as le droit de veto, mais le truc c'est que tu ne peux pas toujours l'utiliser parce que sinon je pense vraiment qu'il y a des gens et il y a des gens qui sont dans l'opposition constante et qui",2,,bs,81.0,115.0
19,"vous avez un veto, mais le problème c'est que vous ne pouvez pas toujours l'utiliser parce que sinon je pense vraiment qu'il y a aussi des gens qui sont dans l'opposition permanente et qui",2,,bg,82.0,116.0
20,mais c'est plutôt une contribution dont le prix de revient est égal à zéro,1,,af,170.0,212.0
21,mais il s'agit plutôt d'un apport où le prix de revient est égal à zéro,1,,sq,171.0,213.0
22,"Mais lorsque le prix de revient est égal à zéro, c'est plus de contribution",1,,am,172.0,214.0
23,Mais c'est bien plus qu'une simple contribution dont le prix de revient est égal à zéro.,1,,ar,173.0,215.0
24,mais c'est plutôt un investissement dont le coût est nul,1,,hy,174.0,216.0
25,mais le prix de revient est une contribution égale à zéro,1,,eu,176.0,218.0
26,mais c'est plutôt une contribution dont le coût est nul,1,,be,177.0,219.0
27,Mais il s'agit plutôt d'une contribution dont le prix de revient est nul.,1,,bn,178.0,220.0
28,mais il s'agit plutôt d'un apport où le prix de revient est nul,1,,bs,179.0,221.0
29,mais c'est plutôt une contribution quand le coût est nul,1,,bg,180.0,222.0
30,"Alors tu vois, je pense que pour des gens comme ça, c'est déjà un peu plus énervant, enfin, typiquement, quand on repense aux Québécois, ils avaient l'air très cool, n'est-ce pas, mais pour moi, les menuiseries, non.",2,,af,239.0,318.0
31,"Alors, tu vois, je pense que pour des gens comme ça, c'est déjà un peu plus énervant, enfin, d'habitude quand on pense aux Québécois, ils avaient l'air très sympas, hein, mais pour moi, les ateliers de menuiserie, non.",2,,sq,240.0,319.0
32,"Tu vois, je trouve que c'est déjà un peu plus frustrant pour des gens comme ça, bon, normalement quand on pense au Québec, ils avaient l'air super, ouais, mais ils n'ont pas fait d'ateliers de menuiserie pour moi.",2,,am,241.0,320.0
33,"Alors, voyez-vous, je trouve que c'est plus énervant pour des gens comme ça, enfin, d'habitude quand on pense aux Québécois, ils avaient l'air très sympas, mais pour moi, les ateliers de menuiserie, c'était pas comme ça.",2,,ar,242.0,321.0
