,PAROLES,Dimension Dialogique
0,oui la première année elle ne sera pas rentabilisée tout de suite mais ça serait sur le long terme,1
1,t’as un droit de véto mais le truc c’est que tu peux pas toujours l’employer quoi parce que sinon enfin je considère vachement que les gens sont aussi y’a des gens qui sont dans l’opposition permanente et qui,2
2,mais c’est plus une cotisation où le coût de revient est égal à zéro,1
3,tu vois donc du coup je pense que pour des gens comme ça c’est déjà un peu plus chiant enfin typiquement quand tu repenses aux Québécois ils avaient l’air tout très gentils hein mais moi les ateliers menuiserie moi non,2
4,bah après c’est déjà plus ou moins enfin tu vois les crèches de quartier et tout c’est quand même avec les gens du quartier quoi,1
5,bah nan parce qu’on aura trouvé un moyen d’ici là soyons positifs  et ça éviterai de gaspiller le comment dire le fait qu’il y ait plus de place forcément construire des immeubles un peu dégueu partout tu fais des trucs sous-marins,2
6,de quoi pardon ah la cuisine individuelle moi je veux pas qu’on salope ma cuisine,2
7,pour que tout le monde soit justement sur un pied d- y’a pas de hiérarchisation par la distance y’a rien tu vois  on est tous on essaye de mettre une équidistance entre toutes les habitations et les points  publics donc d’espaces collaboratifs,2
8,donc ça marche très bien  mais c’est horrible la vie en communauté là c’est horrible  les les personnes âgées les enfants ils vont péter un câble avec ça à côté,1
9,auquel cas t’as vite fait d’être en opposition tout le temps,2
10,bah non si ta batterie est vide parce que t’as trop consommé bah t’es t’as l’air un peu con t’es obligé de te bouger ton cul pour aller te la recharger quoi ,2
11,donc c’est obliger la personne qui est dans l’opposition formelle à aider à résoudre ce problème en fait,2
12,si t’as une conscience collective de ton action et tout ça,2
13,c’est juste qu’ils disaient que enfin tu voyais des quartiers beaucoup plus vivants où les gens se rencontraient beaucoup plus quand tu avais des lieux de travail qui étaient un peu plus mélangés avec les lieux d’habitation et les lieux de sortie,2
14,oui la la question c’est qui sont les gens je pense c’est pas tout le monde qui fait ça qui a les choses qui comment je vais dire ça tous les quartiers collaboratifs aujourd’hui font la même chose le but c’est ils utilisent de l’énergie renouvelables,1
15,bien sûr nan mais le principe d’avoir une facture commune  c’est comme si on va au restaurant on fait moitié moitié sur l’addition mais je mange deux fois plus que toi,2
16,pour pouvoir prendre la lumière et tu fais la même chose enfin les tu fais comme le tournesol en fait avec des panneaux photovoltaïques par exemple,1
17,oui nan mais ça demande oui nan mais c’est pas c’est pas au sein de la communauté c’est pas au sein du quartier c’est assez loin mais,1
18,un peu une mise en commun du patrimoine que tu n’en- que tu n’emploies pas tu vois c’est ça plus que dans un rationnement quoi,2
19,ok mais si vous avez des réserves y a pas de problèmes,1
20,ouais et je pense qu’il y a beaucoup de personnes dans ce cas et heu beaucoup de citoyens qui veulent se sentir responsables,2
21,ça fait un peu comme les moines par exemple les moines bouddhistes c’est vrai qu’ils ont des trucs mais ils sont pas à eux ils les possèdent pas c’est à toute la,2
22,parce que sinon ça reste ça tu peux être systématiquement dans l’opposition parce que y’a rien qui te convient mais après tu réfléchis t’attendras que les autres te sortent une solution qui te convient quoi,2
23,ok mais si vous avez des réserves y a pas de problèmes,1
24,mais après je veux dire après c’est après si t’as pas envie de te bouger et que tu veux pas aller dans l’atelier tu le fais pas tu vois,2
25,bien sûr mais justement pour pas qu’il y ait ces différences-là il y aurait l’éolienne qui serait là pour combler le manque du panneau solaire en fait,1
26,sachant que chacun peut utiliser un nombre maximal de coins par jour  donc par exemple j’ai besoin d’aller faire des courses en voiture aujourd’hui ou faire du vélo au sport pendant une heure ou de bricoler dans l’atelier sachant par exemple que j’ai 50 coins par jour à utiliser personnellement et que la voiture me coûtera 25 coins le vélo 15 la réservation des outils de bricolage 15 il ne me sera pas possible de tout faire ce jour-là ,1
27,donc en fait ça sera donc un système de partage des ressources d’une façon équitable pour que tout le monde puisse faire plusieurs choses dans la journée sans prendre heu un bien que pour lui pendant tout le temps,2
28,ça peut amener des pistes de réflexion sans être forcément ,1
29,pour éviter qu’il y ait des monopoles,2
30,mais si par contre si par exemple tu as genre un appartement pour quatre personnes et un studio par exemple bah  du coup enfin,2
31,oui ça s’équilibre c’est-à-dire ça ne coûte rien à la communauté,1
32,moi je sais que je suis insomniaque et j’aime bien me faire la cuisine à 4h du mat tu vois donc si on me dit ton four tu le fais que fonctionner de 20h à 22h moi je j’aime pas je vais pas être content nan mais le but après c’est pas de créer un ,2
33,voilà justement en recyclant on minimise heu on va soit éviter de d’avoir des emballages inutiles soit recycler pour ne pas jeter donc voilà,1
34,tu penses que c’est bien panneaux solaires ? parce que moi ce que j’ai entendu dire c’est qu’en fait tu consommais vachement de minéraux rares pour les fabriquer et c’est si bien enfin,2
35,par exemple si tu retrouves un problème dans ta communauté sur un bien commun tu le signales et après la personne la plus à même de pouvoir t’aider dans une géolocalisation va pouvoir venir t’aider  tu vois t’es toujours dans un avec des systèmes d’alarme tu peux tout toujours,1
36,nan mais je pense que ça arrivera pas souvent que mais,1
37,et ça va permettre justement d’échanger voilà ça va être on va échanger entre genre le fermier va échanger avec le menuisier voilà,1
38,la personne elle a quand même pour but de rester au plus proche de ce qui a été proposé,1
39,après tu vas avoir un désert,2
40,c’est un peu mettre sur papier les vrais trucs pour pas rester tu vois,1
41,en plus c’est quand même moche,2
42,pour faire un truc ensemble ou tu vois ou un festival ou un truc,2
43,ouais voilà nan mais le truc c’est que c’est pas une finalité dès la chose c’est juste pour dire que ce système ça t’oblige à  ,2
44,c’est juste devenir acteur de la solution si t’es en opposition quoi,2
45,et ça j’ai entendu dire ça marche vachement bien,1
46,bah par exemple s’il y a un manquement électrique à ce moment-là il y aurait une éolienne qui serait là,1
47,peut-être pas un caleçon tu vois mais si admettons ou un costume tu vois si tu as un rendez-vous important et que tu n’as pas de costume,2
48,nan mais je trouve ça cool autosuffisant dans le sens où ça t’oblige à faire plein de projets de façon à faire des trucs localement ,2
49,oui mais ça laisse une chance à la personne,2
50,oui nan mais ce que je veux dire ce je veux dire c’est qu’on sous-entend que si on propose on sous-entend que c’est avantageux de ce point de vue là,1
51,voilà et on aura par exemple ça va être pour c’est compatible avec ton idée genre on va avoir on va on pourra genre si on économise si on fait moins de déchets ou bien si voilà on produit plus d’électricité pour le village on gagnera de l’argent,1
52,tu laisses le voisin acheter une Playstation  après tu vas le voir ((rires)),2
53,mais c’est d’être absolument pas jugé par les autres personne te jugera parce que c’est un point d’accès à,2
54,voilà ça dégage de la chaleur on va réutiliser ça,1
55,mais par exemple ouais pour l’achat d’une voiture tout le monde veut acheter une Renault Scénic et lui il dit bah moi je veux pas de Renault Scénic est-ce que je connais un moyen d’avoir une autre bagnole mieux et moins chère et puis il arrive et puis à peu près c’est accepté,1
56,c’est pas une question de faisable c’est une question aussi  d’atteinte à l’environnement moi je pense,2
57,mais tu dois c’est juste que tu dois participer à l’élaboration d’une solution pas forcément dans l’apport total de la solution ,2
58,ouais mais souvent le seul qui est contre ça va être le chiant de service il va proposer une solution qui va pas,1
59,c’est le principe un peu en gros si quelqu’un a quelque chose que t’as pas enfin si en gros tu payerais toi tu payerais la même facture si quelqu’un consomme plus que toi tu vois,2
60,nan c’est c’est par exemple faut pas penser à c’est faisable ou pas en fait,1
