,PAROLES,Dimension Dialogique,Domaine,Langue
0,"avec le temps on peut avoir une confiance directe dans les personnes que l'on rencontre et donc oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est lié au fait de se faire confiance et",2,12,af
1,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc on a oui il y a une sphère de confiance et donc ne pas être enfermé dans un système monétaire, il s'agit de se faire confiance ET",2,12,sq
2,"Au fil du temps, nous pouvons avoir une confiance directe dans les personnes que nous rencontrons et donc oui, il existe une sphère de confiance et donc nous n'entrons pas nous-mêmes dans un système financier lié à la confiance mutuelle.",2,12,am
3,"On peut directement faire confiance aux personnes que l'on rencontre au fil du temps, et donc on a Oui, il y a une marge de confiance et donc on ne se cantonne pas à un système monétaire, et il s'agit du fait de se faire confiance et",2,12,ar
4,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir, oui, il existe une sphère de confiance et donc nous ne nous enfermons pas dans le système monétaire, c'est-à-dire en termes de confiance et de confiance mutuelle.",2,12,hy
5,"on peut directement faire confiance aux personnes qu'on rencontre au fil du temps et donc oui il y a une sphère de confiance et donc on ne se lie pas au système monétaire, qui est lié au fait qu'on se fait confiance et",2,12,az
6,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc oui il y a un cadre de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire en termes de confiance mutuelle.",2,12,eu
7,"on pourrait faire directement confiance aux gens qu'on rencontre au fil du temps et ainsi avoir un oui, il y a une sphère de confiance et donc ne pas être enfermé dans le système monétaire, c'est à dire se faire confiance et",2,12,be
8,"Avec le temps on peut faire directement confiance aux personnes qu'on rencontre et donc oui, il y a une zone de confiance et donc ne pas s'enfermer dans un système financier, cela a à voir avec la réalité de se faire confiance et",2,12,bn
9,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons cela, il y a une sphère de confiance et donc nous ne nous enfermons pas dans le système monétaire, c'est-à-dire par rapport au fait que nous nous faisons confiance et",2,12,bs
10,"nous pourrions faire directement confiance aux personnes que nous rencontrons au fil du temps et donc avoir un oui, il existe une sphère de confiance et donc ne pas nous enfermer dans un système monétaire qui consiste à se faire confiance les uns les autres et",2,12,bg
11,"nous pourrions avoir une confiance directe dans les personnes que nous connaissons au fil du temps et donc, oui, il y a un espace de confiance et donc ne pas nous enfermer dans un système monétaire, c'est-à-dire par rapport à la confiance mutuelle dans les autres et",2,12,ca
12,"nous avons une confiance directe dans les personnes que nous rencontrons au fil du temps et avons donc oui, il y a un lieu de confiance et donc ne nous enfermons pas dans un système monétaire, qui est lié à la vérité de la confiance mutuelle et",2,12,ceb
13,"on peut avoir une confiance directe dans les gens qu'on rencontre au fil du temps et donc on a oui, il y a une part de confiance et on ne s'enferme pas dans le système financier, qui est lié à la confiance mutuelle et",2,12,ny
14,"Au fil du temps, il existe une sphère de confiance dans laquelle nous pouvons faire directement confiance aux personnes que nous rencontrons, pour ne pas nous enfermer dans un système monétaire, et cela a à voir avec le fait que nous nous faisons confiance les uns les autres, et",2,12,zh-cn
15,"Au fil du temps, il existe une sphère de confiance dans laquelle nous pouvons faire directement confiance aux personnes que nous rencontrons, pour ne pas nous enfermer dans un système monétaire, et cela a à voir avec le fait que nous nous faisons confiance les uns les autres, et",2,12,zh-tw
16,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir oui, il existe une sphère de confiance et donc il n'y a pas de fermeture dans un système monétaire, qui est liée au fait de faire confiance aux autres et",2,12,co
17,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps et donc avoir ça, il y a une sphère de confiance et donc ne pas s'enfermer dans le système monétaire, c'est par rapport au fait qu'on se fait confiance et",2,12,hr
18,nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir oui il y a une sphère de confiance et donc ne pas nous fermer au système monétaire qui est par rapport à la confiance mutuelle et,2,12,cs
19,"on pourrait avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir, oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire par rapport à la confiance mutuelle et",2,12,da
20,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps et c'est pour ça oui, il y a un climat de confiance et c'est pour ça qu'on ne s'enferme pas dans un système monétaire, c'est à dire par rapport au fait qu'on fait confiance les uns les autres et",2,12,nl
21,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire par rapport au fait de se faire confiance et",2,12,en
22,"on pourrait avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire par rapport au fait de se faire confiance et",2,12,eo
23,"nous pouvons avoir une confiance directe dans les personnes avec lesquelles nous sommes en contact au fil du temps et donc oui, il existe une sphère de confiance et donc ne pas nous enfermer dans un système monétaire qui consiste à se faire confiance les uns les autres et",2,12,et
24,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc on a oui, il y a une sphère de confiance et donc on ne s'enferme pas dans un système financier, lié au fait de faire confiance à une seule et",2,12,tl
25,"on pourrait faire directement confiance aux gens qu'on rencontre au fil du temps, et donc on a, oui, il y a un cercle de confiance, et donc on ne s'enferme pas dans le système monétaire, ce qui est lié au fait qu'on se fait confiance et",2,12,fi
26,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir oui, il y a un climat de confiance et donc ne pas nous enfermer dans un système monétaire, c'est-à-dire par rapport au fait de se faire confiance et",2,12,fy
27,"on pourrait avoir une confiance directe dans les gens qu'on connaît au fil du temps et donc oui il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est-à-dire par rapport à la confiance mutuelle et",2,12,gl
28,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et oui, il y a une zone de confiance et donc ne pas s'enfermer dans le système monétaire, il s'agit de se faire confiance et",2,12,ka
29,"On pourrait, au fil du temps, avoir une confiance directe dans les personnes que l'on rencontre et donc oui, il y a une sphère de confiance et donc ne pas s'attacher à un système monétaire lié au fait de se faire confiance et",2,12,de
30,"nous pourrions avoir une confiance immédiate dans les personnes que nous rencontrons au fil du temps et donc nous avons oui il y a une sphère de confiance et donc nous ne sommes pas enfermés dans un système monétaire, c'est à dire par rapport au fait que nous nous faisons confiance et",2,12,el
31,"De temps en temps on peut faire directement confiance aux personnes qu'on rencontre et donc oui, il y a une zone de confiance et donc on ne s'enferme pas dans le système financier, qui est lié au fait de se faire confiance et",2,12,gu
32,"on pourrait avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire par rapport à la réalité faire confiance aux uns et aux autres et",2,12,ht
33,"on peut avoir une confiance directe dans les gens qu'on rencontre depuis longtemps donc ils ont oui, il y a une zone de confiance donc on ne s'enferme pas dans le système financier, qui est lié au fait de se faire confiance et",2,12,ha
34,"on peut directement faire confiance aux personnes que l'on rencontre à temps et donc oui, il y a une part de confiance et donc ne pas s'enfermer dans un système financier, basé sur la dépendance les uns des autres et",2,12,haw
35,"Nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons oui, il y a un espace de sécurité et donc ne pas nous enfermer dans un système monétaire, c'est-à-dire par rapport au fait de se faire confiance.",2,12,iw
36,"Nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons oui, il y a un espace de sécurité et donc ne pas nous enfermer dans un système monétaire, c'est-à-dire par rapport au fait de se faire confiance.",2,12,he
37,"On peut faire confiance directement aux personnes que l'on rencontre au fil du temps et donc oui, il y a une zone de confiance et donc on ne s'enferme pas dans un système monétaire, par rapport au fait de se faire plus confiance.",2,12,hi
38,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir, avoir une certaine confiance et donc ne pas s'enfermer dans un financier, qui est en rapport avec la vérité pour se croire et",2,12,hmn
39,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps, et donc, oui, il y a une sphère de confiance, et donc on ne s'enferme pas dans un système monétaire, c'est-à-dire se faire confiance et",2,12,hu
40,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps et c'est pour ça qu'on a oui, c'est une zone de confiance et donc pas enfermé dans un système monétaire, c'est lié au fait de se faire confiance et",2,12,is
41,"nous pouvons avoir une confiance instantanée dans les personnes que nous rencontrons au fil du temps, donc il y a oui, il y a de la confiance et donc il ne s'agit pas de nous enfermer dans le système financier, c'est-à-dire en termes de confiance et entre nous.",2,12,ig
42,"on peut avoir une confiance directe dans les personnes qu'on rencontre de temps en temps et donc oui, il y a une zone de confiance et donc ne pas s'enfermer dans un système monétaire, notamment par rapport au fait de confiance mutuelle et",2,12,id
43,"on pourrait directement faire confiance aux gens qu'on rencontre au fil du temps et donc oui il y a une zone de confiance donc on n'est pas enfermé dans un système monétaire, c'est à dire se faire confiance et",2,12,ga
44,"on pourrait avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire par rapport au fait de se faire confiance et",2,12,it
45,Il existe certes une sphère de confiance puisque l’on peut faire directement confiance aux personnes que l’on rencontre au fil du temps et donc ne pas s’enfermer dans un système monétaire. Cela signifie se faire confiance et,2,12,ja
46,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir oui, il existe un environnement de confiance et donc ne pas nous enfermer dans le système monétaire, qui est lié à la réalité pour se faire confiance et",2,12,jw
47,"Au fil du temps, nous pouvons avoir une confiance directe dans les personnes que nous rencontrons et donc oui, il existe un domaine de confiance qui ne nous lie donc pas au système monétaire, en ce qui concerne la confiance mutuelle.",2,12,kn
48,"nous pouvons directement faire confiance aux personnes que nous rencontrons au fil du temps, donc oui, il y a de la confiance, donc nous ne nous enfermons pas dans le système monétaire, ce qui revient au fait que nous nous faisons confiance, et",2,12,kk
49,"On peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps, alors oui, il y a une confiance, et donc ne pas s'enfermer dans le système monétaire, qui est lié à la réalité pour se faire confiance.",2,12,km
50,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps, nous disposons donc d’une sphère de confiance et ne sommes pas piégés par le système monétaire.",2,12,ko
51,"on pourrait directement faire confiance aux personnes que l'on rencontre au fil du temps et donc oui, il y a une zone de confiance et donc ne pas se laisser entraîner dans un système monétaire, c'est-à-dire que cela dépend du fait que nous nous faisons confiance et",2,12,ku
52,"on peut directement faire confiance aux gens qu'on rencontre au fil du temps, donc oui, il y a un cercle de confiance, donc on ne s'enferme pas dans le système monétaire, il s'agit du fait qu'on se fait confiance et",2,12,ky
53,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir une gamme de confiance et donc ne pas nous enfermer dans le système financier, ce qui est lié au fait de la confiance mutuelle.",2,12,lo
54,"nous pourrions avoir une confiance directe dans les personnes que nous avons rencontrées à temps et donc nous pouvons avoir confiance et donc nous contrôler dans le système financier, c'est par rapport à la question de se faire confiance et.",2,12,la
55,"nous pourrions directement faire confiance aux personnes que nous rencontrons au fil du temps et donc oui, il existe un domaine de confiance et nous ne sommes donc pas enfermés dans le système monétaire qui consiste à se faire confiance les uns les autres et",2,12,lv
56,"on peut directement faire confiance aux personnes qu'on rencontre au fil du temps, donc oui, il y a une sphère de confiance et donc on ne s'enferme pas dans le système monétaire, c'est-à-dire se faire confiance et",2,12,lt
57,"on peut avoir une confiance immédiate dans les personnes que l'on rencontre au fil du temps et donc avoir, oui, il y a une sphère de confiance en nous donc pas enfermée dans un système monétaire, c'est à dire par rapport au fait de se faire confiance et",2,12,lb
58,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et c'est pourquoi nous avons oui il y a une sphère de confiance et c'est pourquoi nous ne nous enfermons pas dans un système monétaire, il s'agit du fait que nous nous faisons confiance et",2,12,mk
59,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons à temps et donc nous avons oui, il existe un monde de confiance et donc nous ne nous fermons pas au système financier, cela est lié à la confiance et à la confiance mutuelle.",2,12,mg
60,"on peut avoir une confiance directe dans les gens qu'on rencontre de temps en temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans le système financier, c'est à dire par rapport aux faits se faire confiance et",2,12,ms
61,"Nous pouvons directement faire confiance aux personnes que nous rencontrons au fil du temps, donc oui, il existe un domaine de confiance, donc nous ne nous enfermons pas dans le système monétaire, cela a à voir avec le fait que nous nous faisons confiance.",2,12,ml
62,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons oui, il y a une sphère de confiance et donc nous ne sommes pas enfermés dans un système monétaire, c'est à dire par rapport au fait que nous nous faisons confiance et",2,12,mt
63,"Nous pouvons directement faire confiance aux personnes que nous rencontrons à temps, donc oui, il y a un lieu de confiance, donc nous ne nous enfermons pas dans le système financier, ce qui affecte la vraie confiance mutuelle,",2,12,mi
64,"On peut directement faire confiance aux personnes qu'on rencontre au fil du temps et donc oui, il y a une zone de confiance et donc on ne peut pas s'enfermer dans le système économique, qui est lié au fait de se faire confiance et",2,12,mr
65,"Nous pouvons instantanément faire confiance aux personnes que nous rencontrons au fil du temps, alors oui, il existe un cercle de confiance, donc nous ne nous enfermons pas dans un système monétaire qui implique de se faire confiance.",2,12,mn
66,"Au fil du temps, nous pouvons faire directement confiance aux personnes que nous rencontrons ; Donc oui, Il existe un champ de confiance ; Nous ne sommes donc pas enfermés dans un système financier lié au fait que nous nous faisons confiance.",2,12,my
67,"On peut directement faire confiance aux personnes que l'on rencontre au fil du temps et donc oui, il y a une zone de confiance et donc on ne s'enferme pas dans le système monétaire, qui est lié au fait de se faire confiance.",2,12,ne
68,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir oui, c'est une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est par rapport au fait de se faire confiance et",2,12,no
69,"Au fil du temps, nous pouvons avoir une confiance directe dans les personnes que nous rencontrons et donc oui, il existe une sphère de confiance et donc nous ne nous enfermons pas dans un système monétaire, qui est lié à la confiance mutuelle.",2,12,or
