,PAROLES,Dimension Dialogique,Domaine,Langue
0,"avec le temps on peut avoir une confiance directe dans les personnes que l'on rencontre et donc oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est lié au fait de se faire confiance et",Arg_value,confiance,af
1,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc on a oui il y a une sphère de confiance et donc ne pas être enfermé dans un système monétaire, il s'agit de se faire confiance ET",Arg_value,confiance,sq
2,"Au fil du temps, nous pouvons avoir une confiance directe dans les personnes que nous rencontrons et donc oui, il existe une sphère de confiance et donc nous n'entrons pas nous-mêmes dans un système financier lié à la confiance mutuelle.",Arg_value,confiance,am
3,"On peut directement faire confiance aux personnes que l'on rencontre au fil du temps, et donc on a Oui, il y a une marge de confiance et donc on ne se cantonne pas à un système monétaire, et il s'agit du fait de se faire confiance et",Arg_value,confiance,ar
4,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir, oui, il existe une sphère de confiance et donc nous ne nous enfermons pas dans le système monétaire, c'est-à-dire en termes de confiance et de confiance mutuelle.",Arg_value,confiance,hy
5,"on peut directement faire confiance aux personnes qu'on rencontre au fil du temps et donc oui il y a une sphère de confiance et donc on ne se lie pas au système monétaire, qui est lié au fait qu'on se fait confiance et",Arg_value,confiance,az
6,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc oui il y a un cadre de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire en termes de confiance mutuelle.",Arg_value,confiance,eu
7,"on pourrait faire directement confiance aux gens qu'on rencontre au fil du temps et ainsi avoir un oui, il y a une sphère de confiance et donc ne pas être enfermé dans le système monétaire, c'est à dire se faire confiance et",Arg_value,confiance,be
8,"Avec le temps on peut faire directement confiance aux personnes qu'on rencontre et donc oui, il y a une zone de confiance et donc ne pas s'enfermer dans un système financier, cela a à voir avec la réalité de se faire confiance et",Arg_value,confiance,bn
9,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons cela, il y a une sphère de confiance et donc nous ne nous enfermons pas dans le système monétaire, c'est-à-dire par rapport au fait que nous nous faisons confiance et",Arg_value,confiance,bs
10,"nous pourrions faire directement confiance aux personnes que nous rencontrons au fil du temps et donc avoir un oui, il existe une sphère de confiance et donc ne pas nous enfermer dans un système monétaire qui consiste à se faire confiance les uns les autres et",Arg_value,confiance,bg
11,"nous pourrions avoir une confiance directe dans les personnes que nous connaissons au fil du temps et donc, oui, il y a un espace de confiance et donc ne pas nous enfermer dans un système monétaire, c'est-à-dire par rapport à la confiance mutuelle dans les autres et",Arg_value,confiance,ca
12,"nous avons une confiance directe dans les personnes que nous rencontrons au fil du temps et avons donc oui, il y a un lieu de confiance et donc ne nous enfermons pas dans un système monétaire, qui est lié à la vérité de la confiance mutuelle et",Arg_value,confiance,ceb
13,"on peut avoir une confiance directe dans les gens qu'on rencontre au fil du temps et donc on a oui, il y a une part de confiance et on ne s'enferme pas dans le système financier, qui est lié à la confiance mutuelle et",Arg_value,confiance,ny
14,"Au fil du temps, il existe une sphère de confiance dans laquelle nous pouvons faire directement confiance aux personnes que nous rencontrons, pour ne pas nous enfermer dans un système monétaire, et cela a à voir avec le fait que nous nous faisons confiance les uns les autres, et",Arg_value,confiance,zh-tw
15,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir oui, il existe une sphère de confiance et donc il n'y a pas de fermeture dans un système monétaire, qui est liée au fait de faire confiance aux autres et",Arg_value,confiance,co
16,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps et donc avoir ça, il y a une sphère de confiance et donc ne pas s'enfermer dans le système monétaire, c'est par rapport au fait qu'on se fait confiance et",Arg_value,confiance,hr
17,nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir oui il y a une sphère de confiance et donc ne pas nous fermer au système monétaire qui est par rapport à la confiance mutuelle et,Arg_value,confiance,cs
18,"on pourrait avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir, oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire par rapport à la confiance mutuelle et",Arg_value,confiance,da
19,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps et c'est pour ça oui, il y a un climat de confiance et c'est pour ça qu'on ne s'enferme pas dans un système monétaire, c'est à dire par rapport au fait qu'on fait confiance les uns les autres et",Arg_value,confiance,nl
20,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire par rapport au fait de se faire confiance et",Arg_value,confiance,en
21,"nous pouvons avoir une confiance directe dans les personnes avec lesquelles nous sommes en contact au fil du temps et donc oui, il existe une sphère de confiance et donc ne pas nous enfermer dans un système monétaire qui consiste à se faire confiance les uns les autres et",Arg_value,confiance,et
22,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc on a oui, il y a une sphère de confiance et donc on ne s'enferme pas dans un système financier, lié au fait de faire confiance à une seule et",Arg_value,confiance,tl
23,"on pourrait faire directement confiance aux gens qu'on rencontre au fil du temps, et donc on a, oui, il y a un cercle de confiance, et donc on ne s'enferme pas dans le système monétaire, ce qui est lié au fait qu'on se fait confiance et",Arg_value,confiance,fi
24,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir oui, il y a un climat de confiance et donc ne pas nous enfermer dans un système monétaire, c'est-à-dire par rapport au fait de se faire confiance et",Arg_value,confiance,fy
25,"on pourrait avoir une confiance directe dans les gens qu'on connaît au fil du temps et donc oui il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est-à-dire par rapport à la confiance mutuelle et",Arg_value,confiance,gl
26,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et oui, il y a une zone de confiance et donc ne pas s'enfermer dans le système monétaire, il s'agit de se faire confiance et",Arg_value,confiance,ka
27,"On pourrait, au fil du temps, avoir une confiance directe dans les personnes que l'on rencontre et donc oui, il y a une sphère de confiance et donc ne pas s'attacher à un système monétaire lié au fait de se faire confiance et",Arg_value,confiance,de
28,"nous pourrions avoir une confiance immédiate dans les personnes que nous rencontrons au fil du temps et donc nous avons oui il y a une sphère de confiance et donc nous ne sommes pas enfermés dans un système monétaire, c'est à dire par rapport au fait que nous nous faisons confiance et",Arg_value,confiance,el
29,"De temps en temps on peut faire directement confiance aux personnes qu'on rencontre et donc oui, il y a une zone de confiance et donc on ne s'enferme pas dans le système financier, qui est lié au fait de se faire confiance et",Arg_value,confiance,gu
30,"on pourrait avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire par rapport à la réalité faire confiance aux uns et aux autres et",Arg_value,confiance,ht
31,"on peut avoir une confiance directe dans les gens qu'on rencontre depuis longtemps donc ils ont oui, il y a une zone de confiance donc on ne s'enferme pas dans le système financier, qui est lié au fait de se faire confiance et",Arg_value,confiance,ha
32,"on peut directement faire confiance aux personnes que l'on rencontre à temps et donc oui, il y a une part de confiance et donc ne pas s'enfermer dans un système financier, basé sur la dépendance les uns des autres et",Arg_value,confiance,haw
33,"Nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons oui, il y a un espace de sécurité et donc ne pas nous enfermer dans un système monétaire, c'est-à-dire par rapport au fait de se faire confiance.",Arg_value,confiance,he
34,"On peut faire confiance directement aux personnes que l'on rencontre au fil du temps et donc oui, il y a une zone de confiance et donc on ne s'enferme pas dans un système monétaire, par rapport au fait de se faire plus confiance.",Arg_value,confiance,hi
35,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir, avoir une certaine confiance et donc ne pas s'enfermer dans un financier, qui est en rapport avec la vérité pour se croire et",Arg_value,confiance,hmn
36,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps, et donc, oui, il y a une sphère de confiance, et donc on ne s'enferme pas dans un système monétaire, c'est-à-dire se faire confiance et",Arg_value,confiance,hu
37,"on pourrait avoir une confiance directe dans les gens qu'on rencontre au fil du temps et c'est pour ça qu'on a oui, c'est une zone de confiance et donc pas enfermé dans un système monétaire, c'est lié au fait de se faire confiance et",Arg_value,confiance,is
38,"nous pouvons avoir une confiance instantanée dans les personnes que nous rencontrons au fil du temps, donc il y a oui, il y a de la confiance et donc il ne s'agit pas de nous enfermer dans le système financier, c'est-à-dire en termes de confiance et entre nous.",Arg_value,confiance,ig
39,"on peut avoir une confiance directe dans les personnes qu'on rencontre de temps en temps et donc oui, il y a une zone de confiance et donc ne pas s'enfermer dans un système monétaire, notamment par rapport au fait de confiance mutuelle et",Arg_value,confiance,id
40,"on pourrait directement faire confiance aux gens qu'on rencontre au fil du temps et donc oui il y a une zone de confiance donc on n'est pas enfermé dans un système monétaire, c'est à dire se faire confiance et",Arg_value,confiance,ga
41,"on pourrait avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire par rapport au fait de se faire confiance et",Arg_value,confiance,it
42,Il existe certes une sphère de confiance puisque l’on peut faire directement confiance aux personnes que l’on rencontre au fil du temps et donc ne pas s’enfermer dans un système monétaire. Cela signifie se faire confiance et,Arg_value,confiance,ja
43,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir oui, il existe un environnement de confiance et donc ne pas nous enfermer dans le système monétaire, qui est lié à la réalité pour se faire confiance et",Arg_value,confiance,jw
44,"Au fil du temps, nous pouvons avoir une confiance directe dans les personnes que nous rencontrons et donc oui, il existe un domaine de confiance qui ne nous lie donc pas au système monétaire, en ce qui concerne la confiance mutuelle.",Arg_value,confiance,kn
45,"nous pouvons directement faire confiance aux personnes que nous rencontrons au fil du temps, donc oui, il y a de la confiance, donc nous ne nous enfermons pas dans le système monétaire, ce qui revient au fait que nous nous faisons confiance, et",Arg_value,confiance,kk
46,"On peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps, alors oui, il y a une confiance, et donc ne pas s'enfermer dans le système monétaire, qui est lié à la réalité pour se faire confiance.",Arg_value,confiance,km
47,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps, nous disposons donc d’une sphère de confiance et ne sommes pas piégés par le système monétaire.",Arg_value,confiance,ko
48,"on pourrait directement faire confiance aux personnes que l'on rencontre au fil du temps et donc oui, il y a une zone de confiance et donc ne pas se laisser entraîner dans un système monétaire, c'est-à-dire que cela dépend du fait que nous nous faisons confiance et",Arg_value,confiance,ku
49,"on peut directement faire confiance aux gens qu'on rencontre au fil du temps, donc oui, il y a un cercle de confiance, donc on ne s'enferme pas dans le système monétaire, il s'agit du fait qu'on se fait confiance et",Arg_value,confiance,ky
50,"Nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir une gamme de confiance et donc ne pas nous enfermer dans le système financier, ce qui est lié au fait de la confiance mutuelle.",Arg_value,confiance,lo
51,"nous pourrions avoir une confiance directe dans les personnes que nous avons rencontrées à temps et donc nous pouvons avoir confiance et donc nous contrôler dans le système financier, c'est par rapport à la question de se faire confiance et.",Arg_value,confiance,la
52,"nous pourrions directement faire confiance aux personnes que nous rencontrons au fil du temps et donc oui, il existe un domaine de confiance et nous ne sommes donc pas enfermés dans le système monétaire qui consiste à se faire confiance les uns les autres et",Arg_value,confiance,lv
53,"on peut directement faire confiance aux personnes qu'on rencontre au fil du temps, donc oui, il y a une sphère de confiance et donc on ne s'enferme pas dans le système monétaire, c'est-à-dire se faire confiance et",Arg_value,confiance,lt
54,"on peut avoir une confiance immédiate dans les personnes que l'on rencontre au fil du temps et donc avoir, oui, il y a une sphère de confiance en nous donc pas enfermée dans un système monétaire, c'est à dire par rapport au fait de se faire confiance et",Arg_value,confiance,lb
55,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et c'est pourquoi nous avons oui il y a une sphère de confiance et c'est pourquoi nous ne nous enfermons pas dans un système monétaire, il s'agit du fait que nous nous faisons confiance et",Arg_value,confiance,mk
56,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons à temps et donc nous avons oui, il existe un monde de confiance et donc nous ne nous fermons pas au système financier, cela est lié à la confiance et à la confiance mutuelle.",Arg_value,confiance,mg
57,"on peut avoir une confiance directe dans les gens qu'on rencontre de temps en temps et donc avoir oui, il y a une sphère de confiance et donc ne pas s'enfermer dans le système financier, c'est à dire par rapport aux faits se faire confiance et",Arg_value,confiance,ms
58,"Nous pouvons directement faire confiance aux personnes que nous rencontrons au fil du temps, donc oui, il existe un domaine de confiance, donc nous ne nous enfermons pas dans le système monétaire, cela a à voir avec le fait que nous nous faisons confiance.",Arg_value,confiance,ml
59,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons oui, il y a une sphère de confiance et donc nous ne sommes pas enfermés dans un système monétaire, c'est à dire par rapport au fait que nous nous faisons confiance et",Arg_value,confiance,mt
60,"Nous pouvons directement faire confiance aux personnes que nous rencontrons à temps, donc oui, il y a un lieu de confiance, donc nous ne nous enfermons pas dans le système financier, ce qui affecte la vraie confiance mutuelle,",Arg_value,confiance,mi
61,"On peut directement faire confiance aux personnes qu'on rencontre au fil du temps et donc oui, il y a une zone de confiance et donc on ne peut pas s'enfermer dans le système économique, qui est lié au fait de se faire confiance et",Arg_value,confiance,mr
62,"Nous pouvons instantanément faire confiance aux personnes que nous rencontrons au fil du temps, alors oui, il existe un cercle de confiance, donc nous ne nous enfermons pas dans un système monétaire qui implique de se faire confiance.",Arg_value,confiance,mn
63,"Au fil du temps, nous pouvons faire directement confiance aux personnes que nous rencontrons ; Donc oui, Il existe un champ de confiance ; Nous ne sommes donc pas enfermés dans un système financier lié au fait que nous nous faisons confiance.",Arg_value,confiance,my
64,"On peut directement faire confiance aux personnes que l'on rencontre au fil du temps et donc oui, il y a une zone de confiance et donc on ne s'enferme pas dans le système monétaire, qui est lié au fait de se faire confiance.",Arg_value,confiance,ne
65,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc avoir oui, c'est une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est par rapport au fait de se faire confiance et",Arg_value,confiance,no
