,PAROLES,Dimension Dialogique,Domaine,Langue,Unnamed: 0
0,"avec le temps on peut avoir une confiance directe dans les personnes que l'on rencontre et donc oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est lié au fait de se faire confiance et",Arg_value,confiance,af,0.0
1,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc on a oui il y a une sphère de confiance et donc ne pas être enfermé dans un système monétaire, il s'agit de se faire confiance ET",Arg_value,confiance,sq,1.0
2,"Au fil du temps, nous pouvons avoir une confiance directe dans les personnes que nous rencontrons et donc oui, il existe une sphère de confiance et donc nous n'entrons pas nous-mêmes dans un système financier lié à la confiance mutuelle.",Arg_value,confiance,am,2.0
3,"On peut directement faire confiance aux personnes que l'on rencontre au fil du temps, et donc on a Oui, il y a une marge de confiance et donc on ne se cantonne pas à un système monétaire, et il s'agit du fait de se faire confiance et",Arg_value,confiance,ar,3.0
4,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir, oui, il existe une sphère de confiance et donc nous ne nous enfermons pas dans le système monétaire, c'est-à-dire en termes de confiance et de confiance mutuelle.",Arg_value,confiance,hy,4.0
5,"on peut directement faire confiance aux personnes qu'on rencontre au fil du temps et donc oui il y a une sphère de confiance et donc on ne se lie pas au système monétaire, qui est lié au fait qu'on se fait confiance et",Arg_value,confiance,az,5.0
6,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc oui il y a un cadre de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire en termes de confiance mutuelle.",Arg_value,confiance,eu,6.0
7,"on pourrait faire directement confiance aux gens qu'on rencontre au fil du temps et ainsi avoir un oui, il y a une sphère de confiance et donc ne pas être enfermé dans le système monétaire, c'est à dire se faire confiance et",Arg_value,confiance,be,7.0
8,"Avec le temps on peut faire directement confiance aux personnes qu'on rencontre et donc oui, il y a une zone de confiance et donc ne pas s'enfermer dans un système financier, cela a à voir avec la réalité de se faire confiance et",Arg_value,confiance,bn,8.0
9,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons cela, il y a une sphère de confiance et donc nous ne nous enfermons pas dans le système monétaire, c'est-à-dire par rapport au fait que nous nous faisons confiance et",Arg_value,confiance,bs,9.0
10,"enfin, si nous nous prêtons des trucs, l'objet peut être suivi comme je l'ai prêté à tel ou tel, si quelqu'un en a besoin pour le prêter à tel ou tel, cela résout le problème de savoir où il se trouve, qui l'a, etc.",Arg_value,confiance,af,102.0
11,enfin si on se prête des choses l'objet peut être tracé comme je l'ai prêté à un tel si quelqu'un a besoin de le prêter à un tel ça résout le problème de savoir où il est qui l'a etc.,Arg_value,confiance,sq,103.0
12,"En fin de compte, si nous empruntons les uns aux autres, l'objet peut m'être emprunté, de sorte que si quelqu'un en a besoin, cela résoudra le problème de savoir où il se trouve, etc.",Arg_value,confiance,am,104.0
13,"Enfin, si nous nous prêtons des choses, la chose peut être tracée comme vous l'avez prêtée à un tel, si quelqu'un en a besoin, vous pouvez la prêter à un tel, et cela résout le problème de savoir où c'est le cas, à qui appartient-il, et ainsi de suite.",Arg_value,confiance,ar,105.0
14,"enfin, si on convertit les choses entre elles de telle manière que l'objet soit traçable, comme je l'ai donné à un tel, si quelqu'un en a besoin pour le convertir en un tel, cela résout le problème de savoir où il se trouve, qui l'a, etc.",Arg_value,confiance,hy,106.0
15,"enfin, si on se prête l'un à l'autre, l'objet peut être suivi comme si je le prêtais à un tel, si on a besoin de le prêter à quelqu'un, un tel résout le problème de savoir qui l'a, et bientôt.",Arg_value,confiance,az,107.0
16,"enfin, si on se prête la chose on peut retracer l'objet tel que je l'ai prêté et donc si quelqu'un en a besoin pour l'emprunter tel et tel cela résout le problème de savoir où il se trouve et qui l'a etc.",Arg_value,confiance,eu,108.0
17,"enfin, si on se prête des choses traçables, comme j'ai prêté ça à un tel, si quelqu'un a besoin de le prêter à un tel, ça résout le problème de savoir où c'est, qui l'a , etc. d.",Arg_value,confiance,be,109.0
18,"Enfin, si nous nous prêtons des choses, l'objet peut être suivi comme je l'ai prêté et donc si quelqu'un a besoin de le prêter, cela résout le problème de savoir qui l'a et où il se trouve.",Arg_value,confiance,bn,110.0
19,"enfin, si on se prête des choses traçables, l'objet comme je l'ai prêté à tel, si quelqu'un a besoin de le prêter à tel, ça résout le problème de savoir où il est, qui l'a, etc.",Arg_value,confiance,bs,111.0
20,"eh bien, avec le système de croyance, ce n'est pas nécessaire",Arg_value,confiance,sq,206.0
21,Le système de fidélité n’est cependant pas obligatoire,Arg_value,confiance,am,207.0
22,un bon système de confiance n'en a même pas besoin,Arg_value,confiance,hy,208.0
23,"Avec un bon système de confiance, vous n'avez même pas besoin de",Arg_value,confiance,az,209.0
24,"eh bien, avec le système de confiance, cela n'est pas nécessaire non plus",Arg_value,confiance,eu,210.0
25,Ce n'est même pas nécessaire avec un système de confiance,Arg_value,confiance,bn,211.0
26,Tu n'en as même pas besoin si c'est basé sur la foi,Arg_value,confiance,am,273.0
27,"Eh bien, si c'était basé sur la confiance, vous n'en auriez même pas besoin",Arg_value,confiance,ar,274.0
28,"oui mais le principe de confiance n'est pas obligatoire, c'est à dire que tu peux avoir rencontré une personne pour plusieurs transactions différentes enfin une vingtaine de fois elle t'invite à prendre un café tu discutes 5 minutes ce n'est pas tant que demain tu es prêt à ne pas l'inviter et laisse-lui ta maison",Arg_value,confiance,af,315.0
29,"oui mais le principe de confiance n'est pas contraignant, ça veut dire que vous avez peut-être rencontré une personne pour plusieurs transactions différentes, finalement une vingtaine de fois elle vous invite à prendre un café, vous discutez 5 minutes. et laisse-lui ta maison",Arg_value,confiance,sq,316.0
30,"Oui, mais le principe de confiance n'est pas obligatoire, c'est-à-dire que vous pouvez rencontrer une personne pour de nombreuses transactions différentes, à la fin il vous invite à prendre un café vingt fois, ils parlent pendant 5 minutes, pas jusqu'à ce que vous soyez prêt à l'inviter demain. Laissez-lui et votre maison.",Arg_value,confiance,am,317.0
31,"Oui, mais le principe de confiance n'est pas obligatoire, c'est-à-dire qu'il est possible de rencontrer quelqu'un pour plusieurs transactions différentes et finalement de vous inviter vingt fois à prendre un café et à discuter pendant 5 minutes, et pas tant que vous êtes prêt à l'inviter. demain et confie-lui ta maison.",Arg_value,confiance,ar,318.0
32,"oui, mais le principe de confiance n'est pas obligatoire, c'est à dire que vous pouvez rencontrer la personne pour plusieurs transactions différentes, finalement vingt fois elle vous invite à un café, vous parlez 5 minutes, ce n'est pas tant que vous êtes prêt à inviter demain. lui et laisse-lui ta maison",Arg_value,confiance,hy,319.0
33,"oui, mais le principe de confiance n'est pas obligatoire, c'est à dire que vous pouvez rencontrer une personne pour plusieurs transactions différentes, finalement vingt fois elle vous invite à un café, vous discutez 5 minutes, pas autant que vous êtes prêt à inviter demain. laissez-lui lui et sa maison",Arg_value,confiance,az,320.0
34,"oui mais le principe de confiance n'est pas obligatoire, ce qui fait que tu peux rencontrer une personne pour plusieurs transactions différentes, il finit par t'inviter à un café une vingtaine de fois si tu parles 5 minutes, ce n'est pas tant que tu es prêt à l'inviter demain. lui et quitte ta maison",Arg_value,confiance,eu,321.0
35,"oui mais le principe de confiance est optionnel, ça veut dire que tu peux rencontrer une personne pour plusieurs deals différents, finalement vingt fois elle te demande un café, tu discutes 5 minutes, ce n'est pas aussi long que demain, tu es prêt à l'inviter et laisse-lui ta maison",Arg_value,confiance,be,322.0
36,"Oui mais le principe de confiance n'est pas contraignant, c'est à dire que vous rencontrez une personne pour diverses transactions finalement une vingtaine de fois il vous invite à prendre un café vous discutez 5 minutes c'est à demain vous êtes prêt à l'inviter, quittez-le et votre maison chez lui",Arg_value,confiance,bn,323.0
37,"oui, mais le principe de confiance n'est pas obligatoire, c'est à dire que si vous avez pu rencontrer la personne pour plusieurs transactions différentes, finalement vingt fois elle vous invite à prendre un café, vous attendrez 5 minutes ce n'est pas combien de temps demain vous êtes prêt à l'inviter et à partir ta maison pour lui",Arg_value,confiance,bs,324.0
38,"parce que finalement je l'ai mis, mais après je ne sais pas où je l'ai mis, c'est quelque chose à quoi j'ai pensé, c'est que le quartier est un peu au dessus un peu comme une sorte de grande famille élargie et du moment que tu as les gens qui possèdent des choses euh c'est la question du coût c'est euh j'ai une perceuse à la maison je ne m'en sers pas donc j'ai un coût d'opportunité au final je me dis il y a deux choses que je peux me dire je ne je ne l'utilise pas tu en as besoin je te le prête je m'en fiche et la deuxième chose c'est que je ne l'utilise pas je peux gagner de l'argent ce sont deux mentalités différentes donc c'est je te le prête je m'en fiche non plus Je ne l'utilise pas ou je vous le loue parce que je préfère gagner de l'argent et c'est moi qui l'ai acheté et",Arg_value,économique,af,419.0
39,"parce que je l'ai finalement mis, mais ensuite je ne sais pas où je l'ai mis euh, c'était quelque chose auquel je pensais, c'est que le quartier est un peu plus haut, un peu comme une sorte de grande grande famille et comme tu as les gens qui possèdent des choses euh c'est une question de coût donc euh j'ai un entraînement à domicile je ne l'utilise pas donc j'ai un coût d'opportunité au final je me dis qu'il y a deux choses que je peux me dire que je n'utilise pas dont tu as besoin Je m'en fiche de vous le prêter et la deuxième chose c'est que je ne m'en sers pas, je peux gagner de l'argent c'est deux mentalités différentes donc si je vous le prête, je m'en fiche de l'utiliser ou de le louer parce que je je préfère gagner de l'argent et c'est moi qui les ai achetés et",Arg_value,économique,sq,420.0
40,"Parce que j'ai finalement mis ça mais je ne sais pas où je l'ai mis, euh, c'est à ça que je pense, le quartier est un peu plus haut, c'est comme une grande famille, et comme il y a des gens qui possèdent des choses, euh , c'est une question de prix, euh, j'ai une perceuse à la maison, je ne m'en sers pas, donc j'ai une chance, ce que je me dis, c'est que je ne m'en servirai pas. Tu le veux, je te l'ai prêté, je m'en fiche, la deuxième chose c'est que je ne l'utilise pas, je pourrais avoir de l'argent. Ne l'utilise pas ou je te le loue parce que je préfère gagner de l'argent et c'est moi qui l'ai acheté et",Arg_value,économique,am,421.0
41,"لأنني أخيرًا وضعت ذلك ولكن بعد ذلك لا أعرف أين أضعه، إنه شيء كنت أفكر فيه وهو أن الحي أعلى قليلًا مثل نوع من العائلة الممتدة الكبيرة ومنذ اللحظة التي يكون لديك فيها أشخاص يمتلكون الأشياء أه إنها مسألة التكلفة وهذا يعني أه لدي مثقاب في المنزل ولا أستخدمه لذا لدي تكلفة الفرصة البديلة في النهاية أقول لنفسي هناك شيئين يمكنني أن أقول لنفسي أنني لا أستخدمهما أنت في حاجة إليها، أقرضها لك، لا أهتم، والشيء الثاني هو أنني لا أستخدمها، يمكنني كسب المال، إنهما عقليتان مختلفتان، لذلك أقرضك إياها، لا أهتم , CA ne m'interesse pas. Ne l'utilisez pas et ne vous le louez pas car je préfère gagner de l'argent en l'achetant et",Arg_value,économique,ar,422.0
42,"parce que finalement je l'ai mis, mais ensuite je ne sais pas où je l'ai mis, euh, je pensais que le quartier ressemblait un peu plus à une sorte de famille élargie, et comme il y a des gens qui ont des choses, ouais, c'est un question de coût je veux dire j'ai une perceuse à la maison je ne l'utilise pas donc j'ai une chance après tout je me dis il y a deux choses que je peux me dire je ne l'utilise pas toi j'en ai besoin, je prête je vous le donne, je m'en fiche, et la deuxième chose, je ne l'utilise pas, je peux gagner de l'argent, ce sont deux mentalités différentes, donc je vous le prête, je m'en fiche. ne l'utilise pas ou je te le loue parce que je préfère gagner de l'argent et je l'ai acheté et",Arg_value,économique,hy,423.0
43,"parce que j'ai finalement mis ça, mais je ne sais pas où je l'ai mis. les choses euh c'est une question de coût euh j'ai une perceuse à la maison je ne m'en sers pas donc j'ai un coût d'opportunité au final je me dis y'a deux choses que je peux me dire je n'utilise pas tu as besoin que je prête toi je m'en fiche à la seconde où je ne l'utilise pas je pourrais gagner de l'argent ces deux-là c'est une mentalité différente donc je te le prête je m'en fiche je ne l'utilise pas ou je te le loue parce que je' Je préfère gagner de l'argent et je l'ai acheté et",Arg_value,économique,az,424.0
