,PAROLES,Dimension Dialogique,Domaine
0,on pourrait avoir confiance directement envers les personnes qu’on fréquente au fur et à mesure dans le temps et du coup avoir oui voilà avoir une sphère de confiance et du coup ne pas s’enfermer non plus dans un système monétaire voilà par rapport au fait de se faire confiance et de,2,12
1,enfin si on se prête des trucs que l’objet puisse être suivi genre je l’ai prêté à untel donc si quelqu’un en a besoin de le prêter à untel ça règle le problème de savoir où il est qui l’a etc,2,12
2,bah avec le système de confiance il n’y en a même pas besoin,2,12
3,avec bah si c’est basé sur la confiance t’en as même pas besoin,2,12
4,oui mais le principe de la confiance n’est pas obligatoire c’est-à-dire que tu peux avoir fréquenté une personne pour plusieurs transactions différentes enfin vingt fois elle t’invite pour prendre le café vous discutez 5 minutes ce n’est pas pour autant que demain tu es prêt à l’inviter et à lui laisser ta baraque,2,12
5,parce que finalement enfin moi j’ai mis ça mais après je ne sais plus où je l’ai mis heu c’est un truc que auquel je pensais c’était que le quartier est un peu au-dessus un peu comme une sorte de grande famille élargie et à partir du moment où tu as des gens qui possèdent des choses heu c’est la question du coût c’est-à-dire heu moi j’ai une perceuse chez moi je ne l’utilise pas donc j’ai un coût d’opportunité au final je me dis y’a deux choses je peux me dire je ne l’utilise pas t’en as besoin je te la prête je m’en fous et la deuxième chose c’est je n’utilise pas je pourrais gagner des sous c’est deux mentalités différentes donc c’est je te la prête je m’en fous je ne l’utilise pas ou je te la loue parce que je préfère gagner des sous et c’est moi qui l’ai achetée et,2,17
6,parce que finalement enfin moi j’ai mis ça mais après je ne sais plus où je l’ai mis heu c’est un truc que auquel je pensais c’était que le quartier est un peu au-dessus un peu comme une sorte de grande famille élargie et à partir du moment où tu as des gens qui possèdent des choses heu c’est la question du coût c’est-à-dire heu moi j’ai une perceuse chez moi je ne l’utilise pas donc j’ai un coût d’opportunité au final je me dis y’a deux choses je peux me dire je ne l’utilise pas t’en as besoin je te la prête je m’en fous et la deuxième chose c’est je n’utilise pas je pourrais gagner des sous c’est deux mentalités différentes donc c’est je te la prête je m’en fous je ne l’utilise pas ou je te la loue parce que je préfère gagner des sous et c’est moi qui l’ai achetée et,2,3
7,un ami tu ne vas pas le faire payer mais une personne que tu ne connais pas oui et à ce moment-là c’est là où la notion de quartier elle vient au-dessus c’est-à-dire que c’est la notion de quartier donc tu prêtes les choses tu ne les loues pas alors après ça ne marchera pas pour tout le monde parce que forcément il y a des gens qui ont besoin d’incitation monétaire et qui vont dire bah attend heu,2,17
8,un ami tu ne vas pas le faire payer mais une personne que tu ne connais pas oui et à ce moment-là c’est là où la notion de quartier elle vient au-dessus c’est-à-dire que c’est la notion de quartier donc tu prêtes les choses tu ne les loues pas alors après ça ne marchera pas pour tout le monde parce que forcément il y a des gens qui ont besoin d’incitation monétaire et qui vont dire bah attend heu,2,3
9,heu attends j’ai acheté cette machine à laver 800 balles l’année dernière ça me casse les couilles que tu viennes laver ton linge tous les jours ,2,17
