,PAROLES,Dimension Dialogique,Domaine,Langue,Unnamed: 0
0,"avec le temps on peut avoir une confiance directe dans les personnes que l'on rencontre et donc oui, il y a une sphère de confiance et donc ne pas s'enfermer dans un système monétaire, c'est lié au fait de se faire confiance et",2,12,af,0.0
1,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc on a oui il y a une sphère de confiance et donc ne pas être enfermé dans un système monétaire, il s'agit de se faire confiance ET",2,12,sq,1.0
2,"Au fil du temps, nous pouvons avoir une confiance directe dans les personnes que nous rencontrons et donc oui, il existe une sphère de confiance et donc nous n'entrons pas nous-mêmes dans un système financier lié à la confiance mutuelle.",2,12,am,2.0
3,"On peut directement faire confiance aux personnes que l'on rencontre au fil du temps, et donc on a Oui, il y a une marge de confiance et donc on ne se cantonne pas à un système monétaire, et il s'agit du fait de se faire confiance et",2,12,ar,3.0
4,"nous pouvons avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc avoir, oui, il existe une sphère de confiance et donc nous ne nous enfermons pas dans le système monétaire, c'est-à-dire en termes de confiance et de confiance mutuelle.",2,12,hy,4.0
5,"on peut directement faire confiance aux personnes qu'on rencontre au fil du temps et donc oui il y a une sphère de confiance et donc on ne se lie pas au système monétaire, qui est lié au fait qu'on se fait confiance et",2,12,az,5.0
6,"on peut avoir une confiance directe dans les personnes que l'on rencontre au fil du temps et donc oui il y a un cadre de confiance et donc ne pas s'enfermer dans un système monétaire, c'est à dire en termes de confiance mutuelle.",2,12,eu,6.0
7,"on pourrait faire directement confiance aux gens qu'on rencontre au fil du temps et ainsi avoir un oui, il y a une sphère de confiance et donc ne pas être enfermé dans le système monétaire, c'est à dire se faire confiance et",2,12,be,7.0
8,"Avec le temps on peut faire directement confiance aux personnes qu'on rencontre et donc oui, il y a une zone de confiance et donc ne pas s'enfermer dans un système financier, cela a à voir avec la réalité de se faire confiance et",2,12,bn,8.0
9,"nous pourrions avoir une confiance directe dans les personnes que nous rencontrons au fil du temps et donc nous avons cela, il y a une sphère de confiance et donc nous ne nous enfermons pas dans le système monétaire, c'est-à-dire par rapport au fait que nous nous faisons confiance et",2,12,bs,9.0
10,"nous pourrions faire directement confiance aux personnes que nous rencontrons au fil du temps et donc avoir un oui, il existe une sphère de confiance et donc ne pas nous enfermer dans un système monétaire qui consiste à se faire confiance les uns les autres et",2,12,bg,10.0
11,"nous pourrions avoir une confiance directe dans les personnes que nous connaissons au fil du temps et donc, oui, il y a un espace de confiance et donc ne pas nous enfermer dans un système monétaire, c'est-à-dire par rapport à la confiance mutuelle dans les autres et",2,12,ca,11.0
12,"nous avons une confiance directe dans les personnes que nous rencontrons au fil du temps et avons donc oui, il y a un lieu de confiance et donc ne nous enfermons pas dans un système monétaire, qui est lié à la vérité de la confiance mutuelle et",2,12,ceb,12.0
13,"on peut avoir une confiance directe dans les gens qu'on rencontre au fil du temps et donc on a oui, il y a une part de confiance et on ne s'enferme pas dans le système financier, qui est lié à la confiance mutuelle et",2,12,ny,13.0
