,L,PAROLES,Dimension Dialogique,Dimension Epistémique,Domaine,N,Unnamed: 3
0,L4,alors tu le vois comment ton quartier toi ((rires)),Q,0,,54,
1,L1,"allez tiens si vous voulez on va commencer par moi, alors heu les objectifs du quartier ça sera partager s’entraider, heu baser la notion de confiance heu, et du coup la notion d’équilibre par rapport à l’échange équivalent heu, j’ai rebondi là-dessus par rapport à une question où c’était en termes d’échange de location etc quelle monnaie il faudrait utiliser, bah du coup on ne sera même plus obligé de s’enfermer là-dedans",P1,0,,0055a,
2,L1,on pourrait avoir confiance directement envers les personnes qu’on fréquente au fur et à mesure dans le temps et du coup avoir oui voilà avoir une sphère de confiance et du coup ne pas s’enfermer non plus dans un système monétaire voilà par rapport au fait de se faire confiance et de,Arg+,VA,confiance,,
3,L4,je ne vois pas le lien entre la confiance et le système monétaire enfin,Q,0,,56,
4,L1,Bah par exemple,Préc,0,,57,
5,L3,le système de caution,Préc,0,,58,
6,L1,de caution de location,Préc,0,,59,
7,L4,ah oui de la caution ,Préc,0,,60,
8,L1,par exemple,Préc,0,,61,
9,L4,oui oui,[+],0,,62,
10,L3,"ouais bah c’est comme la question sur la monnaie moi j’ai dit bon bah on va rester avec l’euro pour ce qui est principal et sinon on verra, je sais pas ça ne sera peut-être pas nécessairement avec la monnaie mais juste avec un système de suivi des objets",P2,0,,0063a,
11,L3,enfin si on se prête des trucs que l’objet puisse être suivi genre je l’ai prêté à untel donc si quelqu’un en a besoin de le prêter à untel ça règle le problème de savoir où il est qui l’a etc,Arg+ ,VA,confiance,,
12,L4,bah avec le système de confiance il n’y en a même pas besoin,Arg- ,VA ,confiance,,
13,L1,oui comment,+],0,,65,
14,L3,ouais en fin ça dépend,-],0,,66,
15,L4,avec bah si c’est basé sur la confiance t’en as même pas besoin,Arg-,VA ,confiance,,
16,L1,oui mais le principe de la confiance n’est pas obligatoire c’est-à-dire que tu peux avoir fréquenté une personne pour plusieurs transactions différentes enfin vingt fois elle t’invite pour prendre le café vous discutez 5 minutes ce n’est pas pour autant que demain tu es prêt à l’inviter et à lui laisser ta baraque,Arg+,VA ,confiance,,
17,L4,oui,[+],0,,69,
18,L1,voilà il y a une frontière,Préc,0,,70,
19,L2,mais en fait à long terme si on y pense le quartier n’a pas besoin de gens qui échangent et qui vont prêter ,P3,0,,0071a,
20,L2,parce que finalement enfin moi j’ai mis ça mais après je ne sais plus où je l’ai mis heu c’est un truc que auquel je pensais c’était que le quartier est un peu au-dessus un peu comme une sorte de grande famille élargie et à partir du moment où tu as des gens qui possèdent des choses heu c’est la question du coût c’est-à-dire heu moi j’ai une perceuse chez moi je ne l’utilise pas donc j’ai un coût d’opportunité au final je me dis y’a deux choses je peux me dire je ne l’utilise pas t’en as besoin je te la prête je m’en fous et la deuxième chose c’est je n’utilise pas je pourrais gagner des sous c’est deux mentalités différentes donc c’est je te la prête je m’en fous je ne l’utilise pas ou je te la loue parce que je préfère gagner des sous et c’est moi qui l’ai achetée et,Arg+,VA,économique,,
21,L2,parce que finalement enfin moi j’ai mis ça mais après je ne sais plus où je l’ai mis heu c’est un truc que auquel je pensais c’était que le quartier est un peu au-dessus un peu comme une sorte de grande famille élargie et à partir du moment où tu as des gens qui possèdent des choses heu c’est la question du coût c’est-à-dire heu moi j’ai une perceuse chez moi je ne l’utilise pas donc j’ai un coût d’opportunité au final je me dis y’a deux choses je peux me dire je ne l’utilise pas t’en as besoin je te la prête je m’en fous et la deuxième chose c’est je n’utilise pas je pourrais gagner des sous c’est deux mentalités différentes donc c’est je te la prête je m’en fous je ne l’utilise pas ou je te la loue parce que je préfère gagner des sous et c’est moi qui l’ai achetée et,Arg+,VA,éthique,,
22,L1,donc du coup tu aurais ce principe-là via une personne que tu ne connais pas ou un ami,Préc,0,,72,
23,L2,oui exact oui c’est ça et en fait,[+],0,,73,
24,L1,un ami tu vas pas le faire payer,Préc,0,,74,
25,L2,un ami tu ne vas pas le faire payer mais une personne que tu ne connais pas oui et à ce moment-là c’est là où la notion de quartier elle vient au-dessus c’est-à-dire que c’est la notion de quartier donc tu prêtes les choses tu ne les loues pas alors après ça ne marchera pas pour tout le monde parce que forcément il y a des gens qui ont besoin d’incitation monétaire et qui vont dire bah attend heu,Arg+,VA,économique,,
26,L2,un ami tu ne vas pas le faire payer mais une personne que tu ne connais pas oui et à ce moment-là c’est là où la notion de quartier elle vient au-dessus c’est-à-dire que c’est la notion de quartier donc tu prêtes les choses tu ne les loues pas alors après ça ne marchera pas pour tout le monde parce que forcément il y a des gens qui ont besoin d’incitation monétaire et qui vont dire bah attend heu,Arg+,VA,éthique,,
27,L1,ou qui ne seront pas d’accord tout court,Préc,0,,76,
28,L2,heu attends j’ai acheté cette machine à laver 800 balles l’année dernière ça me casse les couilles que tu viennes laver ton linge tous les jours ,Arg+,VA,économique,,
29,L2,heu attends j’ai acheté cette machine à laver 800 balles l’année dernière ça me casse les couilles que tu viennes laver ton linge tous les jours ,Arg+,VA,éthique,,
