,PAROLES,Dimension Dialogique,Domaine,Langue,Unnamed: 0
0,donc cela nous empêchera d'imprimer comme Bitcoin,,16,af,0.0
1,donc cela nous empêchera d'imprimer en bitcoin,,16,sq,1.0
2,Cela nous fait donc aimer Bitcoin.,,16,am,2.0
3,Cela nous empêchera d'imprimer comme Bitcoin,,16,ar,3.0
4,donc ça nous empêchera d'imprimer comme le bitcoin,,16,hy,4.0
5,donc cela nous empêchera de l'imprimer en bitcoin,,16,az,5.0
6,donc ça ne nous permettra pas d'imprimer comme Bitcoin,,16,be,7.0
7,donc ça nous empêche d'imprimer comme le bitcoin,,16,ceb,12.0
8,donc cela nous empêchera de le publier en bitcoin,,16,ny,13.0
9,donc ils nous empêchent de l'imprimer en bitcoin,,16,co,16.0
10,donc ça nous empêche d'imprimer comme des bitcoins,,16,et,23.0
11,donc cela nous empêche d'imprimer comme des bitcoins,,16,fi,25.0
12,donc cela nous empêchera d'imprimer en bitcoins,,16,gl,27.0
13,Donc cela nous empêchera d'imprimer comme le bitcoin,,16,ka,28.0
14,donc cela nous empêchera de taper comme Bitcoin,,16,ha,33.0
15,Donc ça nous empêchera d'imprimer comme Bitcoin,,16,iw,35.0
16,donc cela nous empêche d'imprimer comme Bitcoin,,16,hu,39.0
17,Cela rend impossible l'impression comme Bitcoin,,16,ja,45.0
18,Cela empêche donc l'impression comme Bitcoin,,16,kn,47.0
19,donc ça ne nous permet pas d'imprimer comme Bitcoin,,16,kk,48.0
20,donc cela empêche l'impression comme les bitcoins,,16,ky,52.0
21,donc cela ne nous permettra pas d'imprimer en bitcoin,,16,lv,55.0
22,donc cela ne nous permettra pas d'imprimer en bitcoins,,16,lt,56.0
23,donc cela nous empêchera d'imprimer du bitcoin,,16,lb,57.0
24,cela nous empêche de l'émettre comme le bitcoin,,16,mi,63.0
25,Cela nous empêchera donc d’imprimer comme le bitcoin.,,16,my,66.0
26,Donc ça nous empêche d'imprimer comme Bitcoin,,16,ne,67.0
27,donc cela ne nous permettra pas d'imprimer comme Bitcoin,,16,ru,76.0
28,Donc cela nous empêche d'imprimer comme le bitcoin,,16,si,83.0
29,donc cela nous empêchera de l'imprimer comme le bitcoin,,16,so,86.0
30,Cela nous empêchera donc de taper comme Bitcoin.,,16,th,94.0
31,donc ça ne nous permettra pas d'imprimer comme des bitcoins,,16,uk,96.0
32,Cela nous empêchera donc d’imprimer comme Bitcoin.,,16,ur,97.0
33,"oui, mais si ce n'est pas le cas, c'est quand même chaud",,1,af,106.0
34,"oui, mais sinon, c'est quand même chaud",,1,sq,107.0
35,sinon c'est encore frais,,1,am,108.0
36,"Oui mais si ce n'est pas le cas, il fait toujours chaud",,1,ar,109.0
37,"oui, mais si ce n'est pas le cas, il fait toujours chaud",,1,be,113.0
38,oui mais sinon il fait encore chaud,,1,ceb,118.0
39,"ouais mais si ce n'est pas le cas, il fait toujours chaud",,1,en,127.0
40,"ouais, mais sinon, il fait toujours chaud",,1,fi,131.0
41,"oui, mais sinon il fait encore chaud",,1,gl,133.0
42,"oui mais sinon, ça fait mal",,1,ha,139.0
43,"Oui, mais sinon, il fait encore chaud",,1,haw,140.0
44,"Oui mais sinon, c'est quand même chaud",,1,iw,141.0
45,"oui mais sinon, il fait encore chaud",,1,hmn,144.0
46,"oui mais si ce n'est pas le cas, il fait encore chaud",,1,is,146.0
47,oui mais sinon c'est quand même chaud,,1,ig,147.0
48,"Oui, mais même si ce n'est pas le cas, il fait toujours chaud",,1,ja,151.0
49,"Oui mais si ce n'est pas le cas, c'est quand même chaud",,1,kn,153.0
50,"Oui, mais sinon, il fait encore chaud.",,1,km,155.0
51,"Ouais, si ça ne marche pas, c'est toujours chaud.",,1,ko,156.0
52,ouais mais sinon il fait trop chaud,,1,la,160.0
53,"oui, sinon il fait encore chaud",,1,mg,165.0
54,"Oui, sinon, il fait encore chaud",,1,ml,167.0
55,"oui mais sinon, ça brûlera quand même",,1,mi,169.0
56,"Oui, mais sinon c'est quand même chaud.",,1,my,172.0
57,"ouais mais sinon, il fait toujours chaud",,1,su,194.0
58,"Oui, mais si ce n'est pas le cas, c'est quand même chaud.",,1,ur,203.0
59,"Eh bien, sinon, il fait encore chaud",,1,ug,204.0
60,ouais mais sinon c'est toujours chaud,,1,vi,206.0
61,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,,1,af,212.0
62,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,,1,am,214.0
