,PAROLES,Dimension Dialogique,Domaine,Langue,Unnamed: 0.1,Unnamed: 0
0,donc cela nous empêchera d'imprimer comme Bitcoin,,16,af,0.0,0.0
1,donc cela nous empêchera d'imprimer en bitcoin,,16,sq,1.0,1.0
2,Cela nous fait donc aimer Bitcoin.,,16,am,2.0,2.0
3,Cela nous empêchera d'imprimer comme Bitcoin,,16,ar,3.0,3.0
4,donc ça nous empêchera d'imprimer comme le bitcoin,,16,hy,4.0,4.0
5,donc cela nous empêchera de l'imprimer en bitcoin,,16,az,5.0,5.0
6,donc ça ne nous permettra pas d'imprimer comme Bitcoin,,16,be,6.0,7.0
7,donc ça nous empêche d'imprimer comme le bitcoin,,16,ceb,7.0,12.0
8,donc cela nous empêchera de le publier en bitcoin,,16,ny,8.0,13.0
9,donc ils nous empêchent de l'imprimer en bitcoin,,16,co,9.0,16.0
10,"oui, mais si ce n'est pas le cas, c'est quand même chaud",,1,af,33.0,106.0
11,"oui, mais sinon, c'est quand même chaud",,1,sq,34.0,107.0
12,sinon c'est encore frais,,1,am,35.0,108.0
13,"Oui mais si ce n'est pas le cas, il fait toujours chaud",,1,ar,36.0,109.0
14,"oui, mais si ce n'est pas le cas, il fait toujours chaud",,1,be,37.0,113.0
15,oui mais sinon il fait encore chaud,,1,ceb,38.0,118.0
16,Je crois que les éoliennes ne produisent pas beaucoup d'énergie,,1,af,61.0,212.0
17,Je pense que les éoliennes ne produisent pas beaucoup d'énergie.,,1,am,62.0,214.0
18,Je pense que les éoliennes ne produisent pas beaucoup d'énergie,,1,ar,63.0,215.0
19,Je ne pense pas que les éoliennes produisent beaucoup d'énergie,,1,hy,64.0,216.0
20,oui au début ça va coûter cher car il faut payer les nouvelles installations etc mais après,,17,af,76.0,318.0
21,"oui, au début ça va coûter cher car il faut payer pour de nouvelles installations, etc. mais plus tard",,17,sq,77.0,319.0
22,"Oui, cela coûtera cher au début car il faudra payer pour les nouvelles installations, etc. mais plus tard",,17,am,78.0,320.0
23,Oui au début cela sera cher car il faudra payer pour de nouveaux raccords etc mais après,,17,ar,79.0,321.0
24,"oui, au début, cela coûtera cher car vous devrez payer pour une nouvelle installation, etc. mais ensuite",,17,hy,80.0,322.0
25,"oui, cela coûtera cher au début car vous aurez besoin de nouveaux luminaires, etc. tu devras payer, mais ensuite",,17,az,81.0,323.0
26,"oui, cela coûtera cher au début car il faut payer pour de nouvelles installations, etc. mais ensuite",,17,be,83.0,325.0
27,oui au début c'est cher car il faut payer pour de nouvelles installations etc. mais ensuite,,17,ceb,88.0,330.0
28,oui au début ça va coûter cher car il faut payer pour les nouvelles installations etc. mais plus tard,,17,ny,89.0,331.0
