N;L;PAROLES;Dimension Dialogique;Dimension Epistémique
34;L4;d’accord bon donc on fait quoi les objectifs du quartier;0;0
0039a;L3;heu pour moi enfin le but d’un éco- heu d’un quartier comme ça ça serait surtout de vivre dans un environnement sain en fait où on pourrait vivre en famille ;P1;0
0039b;L3;où il y a du développement durable;P2;0
0039c;L3;et où ça serait un quartier intergénérationnel quoi ça ne serait pas que genre des familles de 30 ans quelque chose comme ça;P3;0
40;L2;d’accord;0;0
0041a;L4;bah moi c’est pour faire heu déjà quand on fait ce type de quartier le but simple c’est de faire des économies sur tout et n’importe quoi  ;P4;0
0041b;L4;et ensuite il y a l’idée du partage qui vient donc heu pour partager tout ce qui y’a tout ce qui est ressources matérielles comme immatérielles des connaissances des services ce qui vient dans la question d’après ;P5;0
0041c;L4;et se permettre de faire des choses qu’on ne pourrait à titre personnel ne pas ne pas réaliser ;P6;0
0041d;L4;parce que quand on est une grande communauté donc heu on a plus les moyens de faire des choses moins chères donc voilà  heu j’ai mis par exemple de se faire une piscine par exemple ou de ne pas avoir un ou deux véhicules par famille mais avoir des véhicules pour toute la communauté  voilà;Préc;VA
;;;(P6);(partage)
50;L4;donc donc tu marques heu tu marques l’idée d’intergénération de famille;[+];0
;;;(0039c);
58;L3;ouais intergénération;0;0
0059a;L4;d’accord donc moi j’ai j’ai dit l’idée du partage aussi comme toi  ;Préc;0
0059b;L4;heu j’ai mis faire des économies sur tout et n’importe quoi;Préc;0
60;L3;ouais;[+];0
;;;(0059b);
61;L4;et se permettre des choses qu’on ne pourrait pas faire à titre personnel ou familial restreint;Préc;0
62;L2;moi j’ai juste rajouté un point de vue associatif en fait;P7;0
63;L3;ouais;[+];0
;;;-62;
64;L2;mais ça rejoint heu;0;0
65;L3;bah je peux mettre partage plus asso associatif ;Préc;0
66;L4;bah partage plus associatif voilà ;[+];0
;;;-65;
72;L4;on passe à la deuxième alors comment le quartier serait-il alimenté en eau en électricité;0;0
73;L3;alors heu;0;0
74;L4;vas-y;0;0
75;L2;vas-y vas-y commence;0;0
0076a;L3;pour moi l’eau enfin je ne sais pas exactement mais ça serait plus sur le réseau urbain puisque je ne vois pas comment l’eau potable sinon et tout ;P8;0
0076b;L3;mais pour tout ce qui est genre je sais pas  genre toilettes machin on peut récupérer les eaux de pluie ou des choses comme ça;P9;0
77;L2;d’accord;0;0
0078a;L3;et après pour l’électricité moi je suis plus sur tout ce qui est énergies renouvelables donc heu éoliennes ;P10;0
0078b;L3;panneaux solaires ;P11;0
0078c;L3;et aussi genre centrales thermiques  donc comme ça ça permet en plus de chauffer les maisons et avec le surplus de  de chaleur on peut faire de l’électricité quoi;P12;0
79;L2;toi tu avais des idées;0;0
0080a;L4;pareil pour le réseau électrique heu pour le réseau d’eau j’avais proposé un réseau d’eau partagé donc qu’il y ait des réservoirs qui sont que par exemple que pour ce quartier et puis c’est commun ;P13;0
0080b;L4;donc heu heu ça inciterait donc j’avais marqué l’usage excessif permettrait de mettre en difficulté tous les autres donc c’est une consommation modérée et responsable je ne sais pas voilà;Arg+;VA
;;;(P13);(écologique)
81;L2;d’accord moi j’avais mis pour l’électricité en fait comme dans l’exemple précédent en fait je ne sais pas si vous avez fait attention mais il y en avait six et d’autres personnes avaient deux autres panneaux solaires ;P14;0
82;L3;[ouais;0;0
83;L4;[oui;0;0
84;L2;donc je voulais le principe de panneaux solaires pour pas qu’il y ait de différence dans la communauté en fait on va créer les profils genre si toi tu as plus de panneaux bah toi tu vas plus surcon- surconsommer ;Arg+;VA
;;;(P14);(équité)
85;L3;ouais;0;0
86;L2;et donc ça va créer une différence donc on va prendre à côté ;Préc;0
87;L4;d’accord;0;0
89;L2;et après pour le partage d’eau c’est surtout heu en fait en fonction de l’habitant qui est dans l’habitation qu’on établisse en fait un ratio au niveau des coûts qu’on pourrait calculer de façon annuelle et après de répartir en fonction de cela pour heu petit à petit pour la communauté c’est plus c’est global et non individuel;P15;0
90;L4;de toute façon il y aura une sensibilisation et une prise de responsabilité pour diminuer les;P16;0
91;L3;par contre juste sur les panneaux solaires mais tu peux ouais du coup tu veux que chaque maison en fait ait le même nombre de panneaux solaires ?;Q;0
92;L2;c’est ça;Préc;
93;L3;mais si par contre si par exemple tu as genre un appartement pour quatre personnes et un studio par exemple bah  du coup enfin;Arg-;VA
;;;(P14);(équité)
94;L2;bah par exemple s’il y a un manquement électrique à ce moment-là il y aurait une éolienne qui serait là;Arg+;FAI
;;;(P14);(faisabilité)
95;L3;nan ce n’est pas par rapport au manquement mais c’est juste par rapport à à un studio je pense que ça consomme beaucoup moins qu’un appartement pour quatre personnes du coup tu vas lui mettre quand même le même nombre de panneaux solaires ;Arg-;VA
;;;(P14);(équité)
