2024-05-24 09:05:53,734 INFO    MainThread:2876711 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_setup.py:_flush():76] Configure stats pid to 2876711
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_setup.py:_flush():76] Loading settings from /raid/home/automatants/martin_bal/.config/wandb/settings
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_setup.py:_flush():76] Loading settings from /raid/home/automatants/martin_bal/PoleProj/Argument-detection/wandb/settings
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'CamemBERT/inference.py', 'program_abspath': '/raid/home/automatants/martin_bal/PoleProj/Argument-detection/CamemBERT/inference.py', 'program': '/raid/home/automatants/martin_bal/PoleProj/Argument-detection/CamemBERT/inference.py'}
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_init.py:_log_setup():526] Logging user logs to ./wandb/run-20240524_090553-jhg6fs6s/logs/debug.log
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_init.py:_log_setup():527] Logging internal logs to ./wandb/run-20240524_090553-jhg6fs6s/logs/debug-internal.log
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_init.py:init():566] calling init triggers
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_init.py:init():616] starting backend
2024-05-24 09:05:53,735 INFO    MainThread:2876711 [wandb_init.py:init():620] setting up manager
2024-05-24 09:05:53,736 INFO    MainThread:2876711 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-24 09:05:53,736 INFO    MainThread:2876711 [wandb_init.py:init():628] backend started and connected
2024-05-24 09:05:53,738 INFO    MainThread:2876711 [wandb_init.py:init():720] updated telemetry
2024-05-24 09:05:53,742 INFO    MainThread:2876711 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-05-24 09:05:54,212 INFO    MainThread:2876711 [wandb_run.py:_on_init():2262] communicating current version
2024-05-24 09:05:54,277 INFO    MainThread:2876711 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-24 09:05:54,277 INFO    MainThread:2876711 [wandb_init.py:init():804] starting run threads in backend
2024-05-24 09:05:54,431 INFO    MainThread:2876711 [wandb_run.py:_console_start():2241] atexit reg
2024-05-24 09:05:54,431 INFO    MainThread:2876711 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-05-24 09:05:54,431 INFO    MainThread:2876711 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-05-24 09:05:54,431 INFO    MainThread:2876711 [wandb_run.py:_redirect():2186] Redirects installed.
2024-05-24 09:05:54,431 INFO    MainThread:2876711 [wandb_init.py:init():847] run started, returning control to user process
2024-05-24 09:05:54,432 INFO    MainThread:2876711 [wandb_config.py:__setitem__():151] config set model_name = camembert/camembert-large - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7f1dcee1f910>>
2024-05-24 09:05:54,432 INFO    MainThread:2876711 [wandb_run.py:_config_callback():1343] config_cb model_name camembert/camembert-large None
2024-05-24 09:05:56,170 INFO    MainThread:2876711 [wandb_run.py:_config_callback():1343] config_cb None None {'model_name': 'camembert/camembert-large', 'num_labels': 21, 'lr': 5e-06, 'weight_decay': 0, 'typ': 'dom', 'from_scratch': False, 'wd': 0}
2024-05-24 09:07:14,629 INFO    MainThread:2876711 [wandb_run.py:_config_callback():1343] config_cb None None {'model_name': 'camembert/camembert-large', 'num_labels': 21, 'lr': 5e-06, 'weight_decay': 0, 'typ': 'dom', 'from_scratch': False, 'wd': 0}
